,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,Approval_Prob,Loan_Approval
55,Good,Medium,Small,Suburban,Bachelor,0.7778732423257868,Approved
56,Bad,Medium,Large,Rural,Master,0.07270764354253195,Disapproved
57,Bad,Medium,Large,Urban,High School,0.11575753178836803,Disapproved
58,Bad,Medium,Small,Suburban,Bachelor,0.334591081302752,Disapproved
59,Fair,Low,Medium,Rural,High School,0.2940727785164822,Disapproved
60,Fair,Low,Medium,Suburban,Bachelor,0.3478192066388219,Disapproved
61,Fair,Low,Medium,Urban,Master,0.4134838694054513,Disapproved
62,Good,Medium,Small,Suburban,High School,0.8043669058532438,Approved
63,Fair,Low,Small,Urban,Master,0.5449933327567393,Approved
64,Fair,Low,Small,Rural,Master,0.6018386239022591,Approved
65,Fair,Medium,Medium,Urban,Master,0.31356621132659385,Disapproved
66,Bad,Medium,Large,Urban,Bachelor,0.22693876465436225,Disapproved
67,Good,Medium,Medium,Urban,Bachelor,0.8351748619714635,Approved
68,Bad,Medium,Medium,Suburban,Bachelor,0.3254926691782519,Disapproved
69,Good,High,Medium,Rural,Master,0.8173958811254546,Approved
70,Good,High,Medium,Urban,Master,0.8081496448063338,Approved
71,Bad,High,Large,Urban,Bachelor,0.445104761087173,Disapproved
72,Bad,Medium,Medium,Urban,Master,0.3934536531032664,Disapproved
73,Good,Low,Medium,Rural,Master,0.6787795343035722,Approved
74,Good,High,Small,Urban,Master,0.8966146801578199,Approved
75,Good,Low,Medium,Urban,Bachelor,0.6514297933288382,Approved
76,Good,Low,Large,Suburban,Master,0.4580210263000335,Disapproved
77,Bad,Medium,Medium,Urban,Master,0.2179067630165826,Disapproved
78,Fair,Low,Small,Urban,High School,0.36155915129935223,Disapproved
79,Bad,High,Medium,Urban,Master,0.41066570470237773,Disapproved
80,Good,Medium,Medium,Rural,Bachelor,0.8454419054925906,Approved
81,Fair,Medium,Medium,Rural,Bachelor,0.4801742190064247,Disapproved
82,Fair,Medium,Large,Suburban,Master,0.3969536448120434,Disapproved
83,Bad,Medium,Small,Urban,Bachelor,0.2223334452505388,Disapproved
84,Fair,Low,Large,Suburban,Master,0.27216690242987335,Disapproved
85,Fair,Medium,Medium,Urban,Bachelor,0.5222036970384095,Approved
86,Good,Medium,Large,Suburban,Bachelor,0.15274528048665686,Disapproved
87,Fair,Medium,Large,Suburban,High School,0.3940383072364381,Disapproved
88,Good,Medium,Medium,Rural,Bachelor,0.40313907734247206,Disapproved
89,Fair,Low,Medium,Urban,Master,0.282759777808464,Disapproved
90,Bad,Low,Small,Suburban,Bachelor,0.5479606785419306,Approved
91,Good,Low,Small,Suburban,Bachelor,0.7215168354360123,Approved
92,Good,Low,Small,Urban,High School,0.6355896047594484,Approved
93,Fair,High,Medium,Suburban,Master,0.5433383861374603,Approved
94,Good,High,Medium,Rural,High School,0.7115090393703134,Approved
95,Fair,Low,Medium,Rural,Master,0.4128988729169834,Disapproved
96,Fair,Medium,Medium,Suburban,Bachelor,0.3205169162823536,Disapproved
97,Fair,Medium,Medium,Urban,High School,0.6829025974927739,Approved
98,Bad,Low,Small,Rural,Master,0.23030862785495457,Disapproved
99,Bad,Low,Large,Suburban,Bachelor,0.05258605229758187,Disapproved
100,Bad,High,Small,Urban,Bachelor,0.7631350533630553,Approved
101,Fair,Medium,Large,Urban,Master,0.2878774429795197,Disapproved
102,Fair,High,Medium,Urban,Bachelor,0.6384452993852483,Approved
103,Fair,Low,Large,Urban,Master,0.3356721274400557,Disapproved
104,Good,Medium,Medium,Suburban,Master,0.5537925288710432,Approved
105,Fair,Low,Large,Urban,Bachelor,0.26490659572037,Disapproved
106,Fair,Low,Small,Urban,Bachelor,0.6500834770025494,Approved
107,Good,Medium,Small,Urban,High School,0.9177551736990811,Approved
108,Fair,Low,Medium,Urban,Master,0.31198487158796206,Disapproved
109,Bad,Low,Medium,Urban,Master,0.19583181225441731,Disapproved
110,Fair,Low,Small,Urban,Bachelor,0.6373692312786523,Approved
111,Bad,Low,Small,Urban,High School,0.4204715354595497,Disapproved
112,Good,Medium,Medium,Suburban,High School,0.6448284132911618,Approved
113,Good,Medium,Small,Urban,Bachelor,0.9152288095474177,Approved
114,Fair,Low,Medium,Suburban,High School,0.17423499103360038,Disapproved
115,Good,Low,Medium,Urban,Master,0.3246411318774219,Disapproved
116,Good,Low,Medium,Urban,Master,0.29002975078741805,Disapproved
117,Bad,Medium,Medium,Urban,Master,0.5410290527571885,Approved
118,Good,Low,Large,Urban,High School,0.46981213238129726,Disapproved
119,Fair,Medium,Medium,Urban,Master,0.2968184912973403,Disapproved
120,Good,Low,Medium,Urban,Master,0.5288901286231683,Approved
121,Good,Low,Small,Urban,High School,0.6965849554493153,Approved
122,Fair,High,Small,Suburban,Bachelor,0.4336044797751321,Disapproved
123,Bad,Medium,Medium,Urban,Master,0.37815508463562236,Disapproved
124,Fair,Low,Medium,Rural,Master,0.2268557293481789,Disapproved
125,Fair,High,Large,Rural,High School,0.582008486058434,Approved
126,Good,Medium,Medium,Suburban,High School,0.48420401186362105,Disapproved
127,Good,High,Large,Urban,Bachelor,0.6605489698253623,Approved
128,Bad,Medium,Large,Rural,Master,0.39461253786523104,Disapproved
129,Fair,Medium,Medium,Urban,Master,0.661339362159826,Approved
130,Fair,High,Medium,Urban,High School,0.7013726938345856,Approved
131,Fair,Low,Large,Urban,Bachelor,0.23806553904039215,Disapproved
132,Bad,Medium,Small,Rural,Master,0.2794923463727737,Disapproved
133,Fair,Medium,Medium,Urban,Master,0.43683511679834636,Disapproved
134,Good,Low,Large,Rural,Master,0.35327306472491943,Disapproved
135,Fair,Low,Large,Urban,Master,0.2133740529515489,Disapproved
136,Fair,Low,Large,Rural,High School,0.10795858334503727,Disapproved
137,Good,Medium,Large,Rural,Master,0.5784716694934429,Approved
138,Fair,Medium,Small,Rural,High School,0.47866438345346163,Disapproved
139,Good,Medium,Medium,Urban,Master,0.8449692343242353,Approved
140,Good,Low,Small,Rural,Bachelor,0.720277592196194,Approved
141,Fair,Medium,Large,Rural,Master,0.504805135291506,Approved
142,Fair,High,Medium,Urban,Master,0.7592696110471627,Approved
143,Fair,Low,Medium,Urban,High School,0.7109622795188287,Approved
144,Fair,Medium,Medium,Suburban,High School,0.5378163936027662,Approved
145,Bad,Medium,Medium,Urban,Bachelor,0.2941921331863285,Disapproved
146,Fair,Medium,Small,Suburban,Master,0.6091443838095567,Approved
147,Fair,Medium,Large,Urban,Master,0.5882605086419207,Approved
148,Bad,High,Medium,Suburban,Master,0.27036231579869047,Disapproved
149,Fair,Low,Small,Urban,Bachelor,0.4067360766338336,Disapproved
150,Good,High,Large,Urban,High School,0.6631554637773488,Approved
151,Fair,Low,Large,Urban,High School,0.22970324036243597,Disapproved
152,Bad,Low,Large,Rural,High School,0.24391670522789036,Disapproved
153,Fair,Low,Medium,Urban,Bachelor,0.2089279407760234,Disapproved
154,Good,Medium,Large,Rural,Master,0.4972603788682796,Disapproved
155,Fair,Medium,Large,Suburban,Bachelor,0.322458896414748,Disapproved
156,Fair,Low,Medium,Urban,Master,0.23914429108673987,Disapproved
157,Good,Low,Medium,Urban,Bachelor,0.6835023343552321,Approved
158,Fair,High,Large,Urban,Bachelor,0.45252825895812165,Disapproved
159,Good,High,Medium,Urban,Bachelor,0.7480343812575905,Approved
160,Fair,Medium,Medium,Urban,Bachelor,0.37616355175693433,Disapproved
161,Fair,Medium,Small,Suburban,Master,0.6092873730418326,Approved
162,Fair,Medium,Medium,Rural,Bachelor,0.34649562150890784,Disapproved
163,Fair,Low,Small,Urban,High School,0.681394294669961,Approved
164,Bad,High,Medium,Suburban,Master,0.632751007005776,Approved
165,Good,Low,Large,Rural,Master,0.6547999659175912,Approved
166,Fair,Medium,Medium,Rural,Bachelor,0.5784109324496411,Approved
167,Bad,Low,Small,Rural,High School,0.33656847973823895,Disapproved
168,Bad,Medium,Medium,Rural,High School,0.28360640543051113,Disapproved
169,Fair,Medium,Small,Urban,High School,0.7323023515885159,Approved
170,Fair,Medium,Small,Rural,High School,0.6936143736489324,Approved
171,Bad,Low,Large,Rural,Master,0.1327234663100919,Disapproved
172,Fair,Medium,Large,Urban,High School,0.3118419377487526,Disapproved
173,Fair,Low,Large,Urban,Bachelor,0.41453080004445697,Disapproved
174,Fair,Low,Medium,Urban,Bachelor,0.3231962599817142,Disapproved
175,Bad,Low,Large,Urban,Master,0.2923966992126126,Disapproved
176,Fair,Medium,Small,Urban,High School,0.6910089433059899,Approved
177,Fair,Medium,Large,Suburban,Bachelor,0.29720908845373967,Disapproved
178,Good,Medium,Medium,Suburban,High School,0.5431448808845419,Approved
179,Bad,Medium,Large,Urban,High School,0.20191062609795726,Disapproved
180,Fair,Medium,Small,Urban,Bachelor,0.7339275019732115,Approved
181,Bad,Medium,Medium,Suburban,Bachelor,0.2959647836567815,Disapproved
182,Good,Low,Small,Urban,High School,0.8029023272588887,Approved
183,Good,Low,Small,Urban,Bachelor,0.6388344097473703,Approved
184,Fair,Medium,Medium,Suburban,High School,0.48781889755777874,Disapproved
185,Fair,Medium,Large,Urban,Master,0.18835754461495052,Disapproved
186,Good,High,Large,Urban,Bachelor,0.7084791284239196,Approved
187,Fair,High,Large,Urban,Master,0.42433270513469135,Disapproved
188,Fair,Low,Small,Suburban,High School,0.7733342243146879,Approved
189,Fair,Low,Large,Suburban,Master,0.3430192630019745,Disapproved
190,Bad,Medium,Large,Urban,Bachelor,0.22823856772375017,Disapproved
191,Good,Low,Medium,Urban,High School,0.7303167541103835,Approved
192,Good,Low,Medium,Suburban,Master,0.6131633778590702,Approved
193,Fair,High,Medium,Rural,Master,0.7651487242224415,Approved
194,Fair,Low,Medium,Suburban,Master,0.26496799738182436,Disapproved
195,Fair,High,Small,Rural,Master,0.8141090387284631,Approved
196,Good,Medium,Medium,Suburban,High School,0.7338453825842194,Approved
197,Good,Medium,Large,Suburban,Bachelor,0.2736595002067592,Disapproved
198,Good,Low,Small,Rural,Bachelor,0.862138803048256,Approved
199,Good,Low,Small,Suburban,High School,0.5228163392888885,Approved
200,Fair,Medium,Large,Rural,Master,0.18713566910819593,Disapproved
201,Bad,Low,Medium,Urban,Bachelor,0.048766186433553106,Disapproved
202,Bad,Low,Medium,Rural,Master,0.30987397684878815,Disapproved
203,Good,Low,Large,Suburban,Bachelor,0.17796576535163786,Disapproved
204,Fair,Low,Small,Rural,Bachelor,0.46466773063947725,Disapproved
205,Bad,Low,Large,Urban,High School,0.2286263384791179,Disapproved
206,Bad,Medium,Small,Suburban,High School,0.5394673375041781,Approved
207,Fair,Low,Medium,Rural,Master,0.2964162166406472,Disapproved
208,Bad,Low,Medium,Urban,Master,0.10441578656882222,Disapproved
209,Bad,Medium,Large,Suburban,Bachelor,0.20689299403944103,Disapproved
210,Fair,High,Large,Rural,Master,0.6054155111412822,Approved
211,Fair,Low,Large,Urban,Bachelor,0.34243465185195976,Disapproved
212,Fair,Low,Large,Urban,Master,0.5141930245379616,Approved
213,Fair,Medium,Medium,Suburban,High School,0.4027497129256615,Disapproved
214,Good,High,Small,Suburban,Bachelor,0.7248527827374384,Approved
215,Fair,Medium,Medium,Urban,Bachelor,0.5585304033640244,Approved
216,Fair,Medium,Small,Urban,Bachelor,0.6950777827238418,Approved
217,Good,Low,Medium,Urban,High School,0.5480688040551156,Approved
218,Fair,Medium,Small,Urban,Bachelor,0.5494372755427335,Approved
219,Good,Low,Small,Urban,Bachelor,0.29238926342082444,Disapproved
220,Fair,Medium,Large,Suburban,High School,0.21792636317243902,Disapproved
221,Fair,Medium,Small,Suburban,Master,0.7407203088927796,Approved
222,Bad,High,Medium,Suburban,Master,0.5137333856442549,Approved
223,Fair,Low,Small,Urban,Master,0.6956094579858845,Approved
224,Fair,Low,Medium,Urban,Bachelor,0.44235022423887344,Disapproved
225,Fair,Medium,Medium,Urban,High School,0.6256199858565099,Approved
226,Good,Medium,Large,Rural,Bachelor,0.6300021259133369,Approved
227,Fair,Medium,Large,Suburban,High School,0.35274819154306675,Disapproved
228,Good,Low,Medium,Rural,Bachelor,0.5532979292763698,Approved
229,Fair,Low,Small,Urban,High School,0.15397119707088294,Disapproved
230,Good,Medium,Small,Suburban,Bachelor,0.713036022165084,Approved
231,Fair,Low,Medium,Suburban,High School,0.29782035496384646,Disapproved
232,Fair,High,Small,Rural,High School,0.7511324519504107,Approved
233,Fair,Medium,Small,Suburban,Master,0.5195555481370914,Approved
234,Bad,Medium,Large,Suburban,Master,0.3404854184887658,Disapproved
235,Good,Medium,Large,Urban,Bachelor,0.36749797796441014,Disapproved
236,Fair,Medium,Large,Suburban,High School,0.5248958403892174,Approved
237,Bad,Low,Small,Urban,Master,0.25259451391028565,Disapproved
238,Fair,High,Small,Urban,Master,0.6859781110104277,Approved
239,Bad,Low,Large,Urban,Master,0.0990959922348613,Disapproved
240,Good,Medium,Large,Rural,Bachelor,0.42767715548658225,Disapproved
241,Good,Low,Small,Urban,High School,0.8346508395457092,Approved
242,Good,Medium,Small,Rural,High School,0.7549848289883866,Approved
243,Fair,Low,Small,Rural,Master,0.49975693257461923,Disapproved
244,Bad,Low,Medium,Rural,Master,0.16872730805736438,Disapproved
245,Good,High,Large,Rural,Bachelor,0.5873274746779232,Approved
246,Fair,Low,Medium,Rural,Bachelor,0.42172224415206694,Disapproved
247,Good,Medium,Large,Urban,Bachelor,0.4730859134680287,Disapproved
248,Good,High,Small,Urban,Master,0.8494998126733866,Approved
249,Good,Low,Medium,Suburban,Master,0.7025840363206035,Approved
250,Fair,Medium,Small,Urban,Bachelor,0.703622801939531,Approved
251,Fair,Low,Medium,Urban,High School,0.22992434389009134,Disapproved
252,Good,Low,Small,Suburban,High School,0.6885770421144336,Approved
253,Fair,Medium,Medium,Suburban,Master,0.4209581074660383,Disapproved
254,Bad,High,Medium,Rural,Master,0.5522528281301379,Approved
255,Fair,Low,Medium,Suburban,High School,0.4037553233064626,Disapproved
256,Good,Medium,Large,Suburban,High School,0.683735509452779,Approved
257,Fair,Medium,Small,Urban,Bachelor,0.5504648406582173,Approved
258,Fair,High,Medium,Urban,Bachelor,0.5979500663765271,Approved
259,Bad,Low,Medium,Rural,Bachelor,0.1412209889110069,Disapproved
260,Fair,Medium,Small,Urban,Bachelor,0.6589416894711942,Approved
261,Good,Medium,Small,Urban,Master,0.5830806546892915,Approved
262,Bad,Medium,Medium,Suburban,Master,0.39881955395065205,Disapproved
263,Fair,High,Small,Urban,High School,0.7575880552192813,Approved
264,Good,High,Large,Urban,Bachelor,0.6511182521495134,Approved
265,Good,Low,Large,Urban,High School,0.5144138929552768,Approved
266,Fair,Medium,Medium,Urban,Master,0.544776676710092,Approved
267,Good,Low,Medium,Urban,Master,0.3457343902222427,Disapproved
268,Fair,Low,Medium,Rural,High School,0.3057371442211758,Disapproved
269,Fair,Medium,Medium,Suburban,High School,0.4950994096074701,Disapproved
270,Good,Low,Medium,Urban,High School,0.49543934404053,Disapproved
271,Good,Medium,Small,Urban,Bachelor,0.769322135439234,Approved
272,Good,High,Medium,Urban,High School,0.9033246891374903,Approved
273,Good,Low,Small,Rural,Bachelor,0.7139625130831178,Approved
274,Fair,High,Small,Urban,Bachelor,0.8061810501569893,Approved
275,Fair,Medium,Large,Rural,Bachelor,0.12649184548339715,Disapproved
276,Good,Medium,Large,Urban,Master,0.6271465358669572,Approved
277,Fair,High,Medium,Rural,Bachelor,0.9156974575278906,Approved
278,Good,Low,Small,Urban,Master,0.8491609701444621,Approved
279,Good,Medium,Large,Urban,High School,0.43665929231290523,Disapproved
280,Good,Medium,Large,Urban,High School,0.8209161014300347,Approved
281,Fair,Low,Small,Suburban,Bachelor,0.5532975439341388,Approved
282,Fair,High,Medium,Urban,Bachelor,0.6732266639150657,Approved
283,Bad,High,Large,Urban,High School,0.27721849798065673,Disapproved
284,Fair,Low,Large,Rural,Bachelor,0.21386815402195392,Disapproved
285,Bad,Low,Small,Urban,Bachelor,0.12726647698812038,Disapproved
286,Fair,Medium,Small,Urban,Master,0.7685623165343047,Approved
287,Fair,Low,Large,Rural,Bachelor,0.21346441122526302,Disapproved
288,Fair,Medium,Medium,Urban,Bachelor,0.47749998981298225,Disapproved
289,Fair,Low,Small,Rural,Master,0.5925620003071163,Approved
290,Bad,Medium,Small,Urban,Master,0.44077835975142443,Disapproved
291,Bad,Low,Small,Urban,Bachelor,0.4292862668619406,Disapproved
292,Good,Low,Medium,Urban,Bachelor,0.7274624911150078,Approved
293,Fair,Medium,Small,Rural,Bachelor,0.7211704923208611,Approved
294,Bad,Medium,Medium,Rural,High School,0.32725965561813786,Disapproved
295,Fair,High,Large,Rural,High School,0.4474024232944486,Disapproved
296,Good,High,Small,Urban,Bachelor,0.8765170577530284,Approved
297,Fair,Low,Medium,Rural,Master,0.2688299666457442,Disapproved
298,Fair,Low,Small,Urban,High School,0.5821977331742731,Approved
299,Bad,High,Large,Urban,High School,0.416653292630459,Disapproved
300,Bad,High,Small,Rural,High School,0.6410127740007747,Approved
301,Fair,High,Large,Urban,Bachelor,0.3995060285370391,Disapproved
302,Fair,Low,Medium,Urban,Bachelor,0.34421045320035915,Disapproved
303,Fair,High,Large,Urban,Bachelor,0.5733247479791539,Approved
304,Good,Low,Medium,Suburban,Bachelor,0.37226761781913414,Disapproved
305,Good,Medium,Small,Urban,Master,0.6912050693679365,Approved
306,Fair,High,Medium,Urban,Bachelor,0.3712418297396419,Disapproved
307,Fair,Low,Large,Rural,Bachelor,0.25199742468625397,Disapproved
308,Good,High,Medium,Urban,Master,0.8505139779922165,Approved
309,Fair,Low,Small,Urban,Master,0.7437707986501382,Approved
310,Fair,High,Medium,Suburban,Bachelor,0.822600571127717,Approved
311,Bad,Low,Large,Rural,Master,0.09847605974656115,Disapproved
312,Bad,High,Large,Urban,Bachelor,0.349705618925539,Disapproved
313,Good,Low,Small,Suburban,Bachelor,0.6425400491263209,Approved
314,Good,Medium,Medium,Urban,Bachelor,0.8534588500363016,Approved
315,Fair,Medium,Large,Suburban,Bachelor,0.5574826164183259,Approved
316,Fair,Medium,Small,Urban,Bachelor,0.6890441650840013,Approved
317,Bad,Low,Medium,Urban,Bachelor,0.18024246984817485,Disapproved
318,Bad,Medium,Large,Urban,Master,0.028596600903487746,Disapproved
319,Fair,Low,Small,Rural,Bachelor,0.32294594616416844,Disapproved
320,Fair,Medium,Medium,Suburban,High School,0.23559166160107797,Disapproved
321,Good,Low,Medium,Rural,High School,0.32114455966146493,Disapproved
322,Fair,High,Medium,Suburban,Master,0.8519168279493853,Approved
323,Fair,Low,Small,Urban,Master,0.34304113049813245,Disapproved
324,Good,Low,Large,Urban,Bachelor,0.2404898583954987,Disapproved
325,Good,Low,Large,Rural,Master,0.25763722254273724,Disapproved
326,Fair,Medium,Large,Suburban,Master,0.7458888190011687,Approved
327,Fair,Low,Small,Rural,Master,0.5387362389459038,Approved
328,Fair,Medium,Medium,Urban,Bachelor,0.6642069139934385,Approved
329,Fair,High,Medium,Urban,Bachelor,0.6541107877479403,Approved
330,Fair,Medium,Large,Urban,High School,0.12826260789114005,Disapproved
331,Good,Medium,Medium,Urban,Master,0.8438133381636872,Approved
332,Bad,Low,Small,Urban,Master,0.45137661180449,Disapproved
333,Bad,Medium,Medium,Urban,Master,0.33184621786626156,Disapproved
334,Bad,Low,Small,Suburban,Bachelor,0.6665224561007852,Approved
335,Bad,Medium,Medium,Urban,Bachelor,0.3001273970389855,Disapproved
336,Good,Low,Small,Urban,Bachelor,0.6802331136613231,Approved
337,Good,Medium,Large,Suburban,High School,0.4519913662431699,Disapproved
338,Fair,Low,Medium,Urban,Bachelor,0.5611602151286125,Approved
339,Bad,High,Small,Suburban,High School,0.7415666477268297,Approved
340,Fair,Low,Small,Urban,Master,0.5933944969632473,Approved
341,Fair,Medium,Large,Rural,Bachelor,0.21294188691113636,Disapproved
342,Bad,Low,Medium,Suburban,Master,0.20554371108669592,Disapproved
343,Fair,Medium,Large,Rural,Master,0.2129072204603735,Disapproved
344,Fair,High,Small,Suburban,High School,0.8736452464222964,Approved
345,Fair,Medium,Medium,Urban,High School,0.2697839708306014,Disapproved
346,Fair,Medium,Medium,Urban,Master,0.7453718248704538,Approved
347,Bad,High,Large,Suburban,Master,0.5143352953192976,Approved
348,Fair,Medium,Small,Suburban,High School,0.5214806225198841,Approved
349,Fair,Medium,Medium,Suburban,High School,0.4404715325172771,Disapproved
350,Fair,Medium,Large,Urban,Bachelor,0.25243728994062514,Disapproved
351,Good,Medium,Medium,Suburban,Bachelor,0.7244967066340234,Approved
352,Fair,Low,Large,Suburban,High School,0.4532132027505446,Disapproved
353,Bad,High,Medium,Suburban,Master,0.6556199953726363,Approved
354,Bad,Medium,Small,Urban,Bachelor,0.437825980881656,Disapproved
355,Fair,Low,Small,Rural,Bachelor,0.734111296816305,Approved
356,Bad,Medium,Medium,Urban,Master,0.5361829632156812,Approved
357,Fair,Low,Small,Urban,Bachelor,0.518170450101272,Approved
358,Good,Low,Medium,Rural,Master,0.5473247360643679,Approved
359,Fair,Medium,Large,Urban,High School,0.5954564198007206,Approved
360,Fair,High,Small,Suburban,High School,0.8661060099546598,Approved
361,Fair,High,Medium,Urban,High School,0.7896029193184271,Approved
362,Fair,High,Medium,Urban,Bachelor,0.9012478437001871,Approved
363,Fair,High,Small,Urban,Master,0.8224672112022725,Approved
364,Good,Low,Large,Urban,Master,0.439208180052609,Disapproved
365,Fair,Low,Small,Urban,Master,0.7470498024161791,Approved
366,Good,High,Small,Urban,Bachelor,0.9579978549373191,Approved
367,Good,Low,Medium,Suburban,Master,0.4493572365177375,Disapproved
368,Bad,Medium,Large,Suburban,Bachelor,0.19697484310718225,Disapproved
369,Bad,Medium,Medium,Rural,High School,0.2165982747827854,Disapproved
370,Bad,Low,Large,Rural,Bachelor,0.17661450589792288,Disapproved
371,Bad,High,Medium,Urban,Bachelor,0.6107050651254304,Approved
372,Bad,Medium,Small,Rural,High School,0.35733165040478015,Disapproved
373,Fair,Medium,Medium,Suburban,High School,0.6842274533762632,Approved
374,Bad,High,Medium,Urban,High School,0.3949406849225807,Disapproved
375,Fair,Medium,Medium,Suburban,Bachelor,0.42152486957275725,Disapproved
376,Good,Low,Medium,Urban,High School,0.7178918999235404,Approved
377,Bad,Medium,Small,Suburban,Master,0.4072064398263121,Disapproved
378,Good,High,Medium,Urban,Bachelor,0.5644080929423977,Approved
379,Fair,Medium,Small,Urban,Bachelor,0.7634305400481813,Approved
380,Bad,Medium,Medium,Urban,Master,0.3304012320968279,Disapproved
381,Fair,Medium,Medium,Urban,Bachelor,0.6932249500238475,Approved
382,Fair,Low,Large,Rural,Bachelor,0.36212545761822906,Disapproved
383,Good,High,Medium,Rural,Master,0.508468308210898,Approved
384,Good,High,Medium,Urban,Bachelor,0.8844153006748625,Approved
385,Good,Low,Large,Urban,Master,0.6864744973151232,Approved
386,Fair,Low,Small,Urban,Bachelor,0.7049767465733737,Approved
387,Bad,High,Medium,Rural,High School,0.6389578555411499,Approved
388,Good,High,Small,Urban,Bachelor,0.8411864446970494,Approved
389,Good,High,Large,Rural,High School,0.5526207995877206,Approved
390,Good,High,Medium,Suburban,High School,0.7882609480854011,Approved
391,Fair,Medium,Large,Rural,High School,0.495113602061826,Disapproved
392,Fair,Medium,Large,Suburban,High School,0.4910043816988595,Disapproved
393,Good,Medium,Small,Suburban,Master,0.7413656307442694,Approved
394,Fair,Low,Large,Suburban,Master,0.18811157277398013,Disapproved
395,Good,Medium,Medium,Rural,Master,0.4286494935120639,Disapproved
396,Good,Medium,Large,Rural,High School,0.6118940182011567,Approved
397,Fair,Medium,Medium,Suburban,Bachelor,0.44477414444785035,Disapproved
398,Good,Medium,Small,Suburban,High School,0.7581171901469343,Approved
399,Good,Medium,Medium,Rural,Bachelor,0.8598917983104098,Approved
400,Bad,Low,Small,Rural,Master,0.4834423189078059,Disapproved
