,Income,DebtRatio,CreditScore,EducationLevel,EmploymentType,Age,NumDependents,MaritalStatus,Region,LoanApproved
48,65154.27434352692,0.6372349960480631,8545.533418652994,Low,Unemployed,47.240301463720336,0,Married,North,0
49,33554.39766955899,0.10196867740618039,8376.132830353125,Low,Unemployed,52.69417178855263,4,Divorced,South,0
50,64861.25954092193,0.6604089349489581,8555.571297842202,High,Self-Employed,37.59953714461255,1,Married,West,1
51,54223.76579375525,0.18247566345122584,8435.496095394512,High,Unemployed,20.119303094418047,1,Married,West,1
52,49846.16999541062,0.12395575066669035,8446.353013846085,Low,Self-Employed,26.88943611990503,3,Married,South,1
53,69175.14433261302,0.1332331207468317,8464.769125525438,Medium,Unemployed,24.231139643705887,1,Married,East,0
54,75464.99283743926,0.3093497171058601,8554.192761041571,Medium,Unemployed,36.17046972200469,1,Divorced,South,0
55,73969.20178674298,0.47248245116127613,8455.535007542767,Low,Self-Employed,26.004132317360614,0,Married,North,1
56,47411.737151660425,0.3413867179113985,8467.205561038183,Medium,Salaried,33.720658293003694,2,Divorced,North,1
57,55361.81436223178,0.11533257078962769,8451.91561409871,Low,Salaried,60.245876650664314,0,Married,East,0
58,64968.95147105346,0.3858895805048288,8512.769740042972,Low,Unemployed,48.42982495915802,4,Divorced,South,0
59,74633.17690683539,0.36527844536222803,8537.180416744384,Low,Unemployed,46.175710503181705,3,Divorced,West,0
60,52812.38643232065,0.5541095593009882,8585.216225788032,High,Salaried,51.33668438325192,3,Divorced,West,1
61,57215.115350042746,0.267767739055263,8619.990874989338,High,Unemployed,27.145464874526148,1,Divorced,East,1
62,43404.975389909574,0.2305187042766203,8532.509037659398,High,Salaried,30.57122506207219,2,Married,East,1
63,42056.900638789935,0.2535633746059757,8518.282709343468,High,Unemployed,41.032736308667396,2,Divorced,West,1
64,72187.88733591296,0.2822438935779088,8439.13301339459,Low,Unemployed,33.32743325408091,1,Married,West,0
65,80343.60042856235,0.4594989240202999,8595.465157686549,High,Unemployed,36.283058203564245,0,Divorced,North,1
66,58919.84817629499,0.3829152912712479,8510.770155466696,Low,Unemployed,46.20819932623276,4,Married,South,0
67,75052.99346838036,0.30213673910743477,8485.546757904618,High,Unemployed,49.436136023463376,1,Divorced,West,1
68,65424.54037571451,0.32458849497020703,8519.376588452678,Medium,Salaried,45.36580518426555,2,Single,South,1
69,50323.203680923136,0.3225541960953857,8468.182463630255,Low,Unemployed,51.49265094492312,2,Married,South,0
70,65420.93408262621,0.6834440168261904,8383.116421785433,Low,Salaried,13.379306705979342,1,Divorced,West,0
71,83070.54849698953,0.23979819283177153,8528.59014604668,Low,Salaried,60.16158660638881,4,Single,West,0
72,59462.60941335073,0.5908369361633552,8567.123692596695,Medium,Self-Employed,48.16877705749181,5,Divorced,East,1
73,83469.6548372101,0.5249265025529122,8527.846131760047,Medium,Self-Employed,36.43577868535,2,Single,South,1
74,20703.823438653835,0.10334200336213036,8499.646043499917,High,Salaried,25.233692092194598,2,Divorced,South,1
75,72328.53756562836,0.6959057308752927,8500.663587619569,Low,Unemployed,38.243931564048616,1,Single,West,0
76,61305.70602357257,0.5538636223801441,8508.613987385814,Medium,Salaried,32.032631577051056,0,Single,West,1
77,55514.88974301198,0.5094697518104748,8507.082711054429,Medium,Unemployed,52.109825018918094,1,Married,West,0
78,61376.41164803253,0.3431948246059824,8496.964934125972,Low,Self-Employed,46.79244193774026,1,Married,East,1
79,30186.46628098661,0.4331218533485737,8501.267143973442,Low,Unemployed,33.546456190452396,0,Single,East,0
80,56704.92168243732,0.25196253740048213,8577.750637022024,High,Salaried,25.997274515557322,3,Married,South,1
81,65356.6885726762,0.12129004308741849,8523.613660717327,Medium,Unemployed,37.5233243811757,0,Married,East,0
82,82168.41067112274,0.6016129950675837,8505.257349201229,Low,Salaried,50.03598572718101,5,Married,East,0
83,52225.94672589529,0.637890696208703,8532.961344814796,Low,Self-Employed,45.45865241538161,0,Divorced,East,0
84,47872.595956602185,0.19748238196854392,8532.964949339163,Low,Self-Employed,25.96809985867171,5,Divorced,West,1
85,52473.64434623195,0.5722336575074398,8547.299898138494,Low,Self-Employed,34.74567839672122,4,Single,East,0
86,73731.03176553111,0.5446916039713953,8462.154429408358,Low,Salaried,49.80011585819454,3,Single,East,0
87,64931.266644895266,0.2070250011616543,8475.97360469261,Low,Self-Employed,38.6823916791615,0,Single,East,1
88,52053.59694349442,0.3530972815448763,8459.322127290287,Low,Salaried,39.482590265343674,1,Married,North,0
89,67699.01149670035,0.353654752500462,8538.336146174684,Low,Salaried,58.89574071688876,4,Single,North,0
90,61456.16324022061,0.5559785549831491,8535.89354872035,High,Unemployed,29.32164496799345,4,Single,South,1
91,74529.67485799333,0.6025965434656333,8436.33785637388,Low,Self-Employed,51.23791081388128,3,Divorced,West,1
92,49469.203591839716,0.15686507283482262,8519.541890641016,Medium,Self-Employed,35.76465865332572,4,Single,South,1
93,55085.067801033474,0.43778154094252175,8568.611693393394,Low,Self-Employed,36.329993429576724,0,Divorced,North,1
94,54118.377703017635,0.5570490981573312,8488.233368063775,Low,Salaried,41.854516815525756,4,Married,East,0
95,38047.27577801822,0.5717143564390951,8515.698663696316,Low,Salaried,43.16718436580405,5,Divorced,North,0
96,64441.80415596864,0.18879611465824536,8536.52428514122,Low,Self-Employed,46.11830304140231,4,Married,West,1
97,63915.82908269834,0.41530308589047643,8433.972088030065,High,Self-Employed,38.41051187750135,4,Married,North,1
98,60076.70184963691,0.6145352238176217,8507.599407949556,Low,Self-Employed,46.75892258877719,1,Single,East,1
99,56481.19299937279,0.2911111459511705,8563.605809487073,Low,Unemployed,41.36740416884833,5,Single,North,0
100,38769.438869243786,0.3550701393470783,8470.339559161792,Low,Salaried,34.50648934066248,5,Single,West,0
101,53690.320158519615,0.5826151068017994,8541.62330711294,Low,Unemployed,27.571588351174555,3,Single,South,0
102,54859.282252098456,0.15359171271025737,8501.358080356957,Medium,Unemployed,46.335482987667454,0,Single,South,0
103,47965.84096167572,0.6156959739333869,8466.274767893316,Low,Unemployed,43.05479000215137,5,Single,South,0
104,57580.71432500986,0.2866940300384854,8495.174572459278,Low,Unemployed,33.37020857431915,4,Married,West,0
105,66060.76285221807,0.1008701899546763,8473.693603795688,Low,Unemployed,25.83216991199665,2,Divorced,South,0
106,88292.78851815795,0.24049548703381496,8455.584297911857,Medium,Unemployed,34.13836275510259,0,Married,North,0
107,62618.66719247759,0.1537003845373039,8487.282761377344,Medium,Self-Employed,20.44653613479831,5,Divorced,South,1
108,63863.25586084146,0.15543094419774647,8503.421315619305,Low,Unemployed,49.75236728566293,1,Married,South,0
109,58883.311263507494,0.5157014404855549,8491.697280872557,Medium,Unemployed,38.89829640995038,5,Married,North,0
110,31218.431770514377,0.2283858013834389,8486.731320943558,Low,Self-Employed,42.63395563579635,5,Divorced,West,0
111,59602.291868261746,0.6608454177861894,8511.29979414828,Low,Self-Employed,35.9543753994815,3,Married,East,1
112,60903.4531491154,0.4098667279547824,8526.570298749053,High,Self-Employed,57.704816305614486,1,Single,West,1
113,96948.6316872793,0.37605895477295115,8442.795238358012,Low,Self-Employed,47.00951120949783,1,Divorced,West,1
114,57114.58552828316,0.360570110932091,8487.38020653097,Medium,Self-Employed,36.294099370516236,5,Single,South,1
115,64523.210135004185,0.5155525838029791,8401.322954500307,Low,Self-Employed,36.57550808060032,3,Married,North,1
116,59479.32345442135,0.37135765751416505,8491.89083204829,Low,Self-Employed,33.75023739259099,0,Divorced,North,1
117,42469.82943570702,0.1771602137351151,8507.52645230358,Medium,Salaried,38.517060009586075,1,Divorced,West,1
118,77142.34221772531,0.6281033083844539,8528.489000608271,Medium,Self-Employed,43.850592922033876,4,Divorced,East,1
119,71278.99549030162,0.3570372093553952,8507.705240324814,Medium,Unemployed,43.49156054347327,1,Married,North,0
120,71865.47920564571,0.1444027454197015,8527.408782202712,Medium,Unemployed,37.30298237431613,0,Single,West,0
121,46359.18817807892,0.41761959249865666,8503.261249083464,Medium,Self-Employed,54.502616600979906,2,Single,West,1
122,81041.91466404148,0.488408115073422,8466.224081090877,Medium,Salaried,19.902035120220795,2,Married,South,1
123,38972.234058115784,0.2653494784946551,8444.203241580515,Medium,Unemployed,34.133644002867015,3,Single,East,0
124,68802.85640700406,0.5802042446043053,8486.849864635573,High,Self-Employed,46.888714676139905,3,Single,East,1
125,92856.83438714968,0.5018655076224182,8461.686189829652,Medium,Unemployed,54.077736021848395,5,Married,South,0
126,45141.955123039676,0.49020470155866,8494.014044268451,Low,Salaried,41.96710055663693,1,Married,West,0
127,51505.53405595842,0.3524949717206765,8475.406149825629,Low,Salaried,54.97091823336609,2,Married,West,0
128,61494.77047631462,0.6771491808467727,8520.954050628203,Low,Salaried,57.114403072851054,3,Single,West,0
129,52447.86518825701,0.2645135007695486,8502.447751222862,Low,Salaried,36.433843328722794,2,Single,South,0
130,36740.04853400801,0.4466233006092715,8522.374716812863,Low,Self-Employed,31.568480736165796,0,Divorced,South,0
131,61028.44462209041,0.28543309448357057,8522.119236163728,Low,Salaried,31.366805590322734,5,Single,North,0
132,44065.44429410843,0.5468828517829324,8491.016347814179,High,Salaried,25.735259443061697,4,Divorced,East,1
133,67103.88645952773,0.12867489032207288,8494.083182753933,Low,Salaried,27.71346916194115,2,Single,South,0
134,46208.63648649295,0.12753632072502954,8525.080224416068,Low,Unemployed,30.525765909326584,3,Divorced,North,0
135,83249.01607526309,0.5865165817112749,8622.296946533706,Medium,Unemployed,28.33686768722979,2,Divorced,East,0
136,48251.20061495644,0.3605608966382026,8450.543442653221,Low,Salaried,50.25416773454752,3,Married,East,0
137,55169.07725691487,0.3047080327602134,8502.087574399473,High,Unemployed,35.53647117438974,5,Divorced,North,1
138,72202.75826054504,0.4645161173052031,8440.214582638799,Medium,Salaried,26.11599278261897,3,Divorced,North,1
139,41537.03525349067,0.5211396063213841,8498.954382522104,Medium,Salaried,36.11294622940687,0,Divorced,North,1
140,63411.899019061944,0.22072080810664396,8466.29695481728,Low,Salaried,42.50397453904008,5,Divorced,East,0
141,79607.14131423642,0.21125874484283894,8494.004679447393,Low,Salaried,37.388721669650145,3,Divorced,North,0
142,35887.75148158159,0.6748904486559288,8507.765516697393,Low,Unemployed,37.82879236661904,3,Married,East,0
143,62769.507877984564,0.4537985838307416,8475.530444378803,Medium,Salaried,21.713165869552157,0,Divorced,South,1
144,63898.24191372635,0.3340698863765609,8410.81206619063,High,Unemployed,49.100545046125625,4,Divorced,West,1
145,71727.34307665966,0.5808650168017039,8571.27678385764,Medium,Salaried,36.48360194875411,5,Divorced,West,1
146,41445.739336828774,0.4150953752667503,8541.963848989966,Medium,Salaried,26.993189760731465,0,Married,East,1
147,40193.15080373586,0.24499768622474882,8493.472038554457,High,Unemployed,38.931508367512215,2,Married,West,1
148,67829.12348425346,0.2240411833849443,8455.263350089472,High,Salaried,35.03953915412492,1,Single,East,1
149,64454.77009849779,0.338115559701893,8504.251229514151,Medium,Unemployed,41.22474408465662,5,Single,North,0
150,63757.39275518815,0.6159375161559277,8518.049441252071,Low,Self-Employed,65.55651943164281,4,Single,East,1
151,65196.72314245464,0.13686874962655535,8538.50059078798,Low,Unemployed,32.52092657517338,0,Divorced,North,0
152,49799.62917632264,0.2311156004528579,8543.111108220039,Low,Unemployed,47.45470261294577,2,Divorced,North,0
153,63483.80545741505,0.6358910913115549,8552.533815265593,Low,Unemployed,36.71946080008026,1,Divorced,East,0
154,64396.08709948022,0.17304074138155032,8412.957015525251,Low,Unemployed,36.10381636070771,3,Single,East,0
155,49284.72872960448,0.477775430958501,8484.767839298942,High,Unemployed,52.558032906499996,4,Divorced,South,1
156,87986.61766717135,0.22810682087261508,8549.65504103058,Medium,Unemployed,41.81775868317274,4,Divorced,North,0
157,67107.49381367682,0.463520108507133,8453.818414868101,Medium,Unemployed,56.12368803142482,5,Divorced,East,0
158,42130.44754196027,0.3298625001065393,8560.963378859084,Low,Unemployed,39.485242380439665,3,Divorced,South,0
159,69848.30412950745,0.16100613785859513,8590.518880756914,Low,Unemployed,53.656038387026236,1,Married,North,0
160,45379.77494659018,0.4494850405324638,8559.562715972957,Low,Unemployed,36.65341113073203,5,Single,West,0
161,71806.26905613678,0.5098256482507516,8533.07952035516,Low,Unemployed,33.148035423709175,3,Single,West,0
162,77378.93368511106,0.5081635713794816,8477.624688631857,Low,Unemployed,44.37655700448783,1,Married,North,0
163,47689.765224724346,0.48222064544362575,8514.081740187394,Low,Self-Employed,41.18231092493038,4,Divorced,South,1
164,74450.64193866483,0.40013486856132746,8432.69526756397,Low,Unemployed,26.622893466480598,5,Divorced,South,0
165,66191.71390404747,0.41168357011559537,8460.944466770412,Low,Salaried,41.99076948238557,1,Divorced,East,0
166,72330.90239991735,0.4813840658847757,8464.459825874426,Low,Salaried,32.38385235416495,0,Single,North,0
167,88451.89473980921,0.5141556170479846,8503.098628698297,Low,Salaried,48.16899837043089,5,Married,South,0
168,56319.17825995694,0.49292604329883105,8480.391136728585,High,Salaried,33.361708818535945,4,Married,North,1
169,48693.95753463766,0.45216733894807104,8513.079997831002,Medium,Unemployed,36.36097370980464,1,Married,West,0
170,46657.28355561715,0.19350339088247104,8543.891341243863,Medium,Self-Employed,29.75017910982999,2,Divorced,North,1
171,47762.845725518426,0.22636992309571707,8464.513622856437,Medium,Salaried,50.04435964570532,1,Divorced,North,1
172,58843.47435878844,0.256134412621209,8507.430054646853,Medium,Unemployed,44.275725219641195,1,Divorced,South,0
173,65117.279622249654,0.6517969942525014,8479.201550509104,Medium,Salaried,62.76363774753718,5,Single,West,1
174,64150.36198995029,0.5556370550781798,8509.50812468286,High,Salaried,52.602410818964564,5,Single,North,1
175,72407.74873554036,0.43172009172212694,8534.30862991059,Low,Self-Employed,35.587015770596125,4,Single,South,1
176,60195.02837816861,0.2512341571264281,8546.061789542111,Medium,Salaried,24.492240035739865,1,Divorced,East,1
177,81803.01115735975,0.16653491394650272,8533.515205964652,High,Salaried,33.72432593007792,3,Divorced,South,1
178,56030.147501430656,0.6392555355879848,8520.69928144645,Low,Unemployed,38.42615503748789,2,Divorced,South,0
179,100802.53749884428,0.6355996094937502,8428.989336349023,Low,Self-Employed,21.977692469937114,3,Single,South,1
180,69385.01021647509,0.16641735741741492,8445.936703522706,Low,Salaried,31.506174668341966,5,Divorced,West,0
181,47142.63665375576,0.5783299996578977,8458.791086009975,High,Self-Employed,50.15935023826668,3,Divorced,South,1
182,43936.612529083315,0.3679870415859476,8517.931010340377,Low,Self-Employed,31.410995783985708,3,Single,West,0
183,67237.08622864778,0.2943801596983241,8435.449754380474,Medium,Salaried,31.260538387791993,4,Married,West,1
184,56648.05822011224,0.5434627217252244,8516.876116408394,High,Salaried,45.1840335019041,0,Married,South,1
185,70710.00741138138,0.46859772463643834,8513.223462856633,Low,Unemployed,34.58272165595143,2,Divorced,South,0
186,67098.56436860317,0.5680180645560023,8403.215544724017,Low,Salaried,40.12018253120827,0,Single,North,0
187,58907.56631014691,0.14459731637976225,8445.619858911623,High,Unemployed,43.923455151635814,0,Married,East,1
188,47298.094228973925,0.29115221197447383,8552.193778742838,High,Salaried,33.81495740936469,4,Married,South,1
189,37277.29162971203,0.29159011025004145,8534.870457419745,Medium,Unemployed,47.71742568581173,1,Married,West,0
190,53302.275718994686,0.2978518553726593,8457.480300140252,Low,Salaried,46.90895296458366,1,Married,North,0
191,72845.98191485209,0.40148792358628327,8448.256950729277,High,Self-Employed,43.251512753922405,4,Divorced,North,1
192,63211.40616195306,0.2698082818485684,8377.48266574607,High,Salaried,55.11293743793214,5,Single,South,1
193,41313.91831932018,0.3666301660525118,8573.564884386065,Medium,Salaried,48.79241560928627,4,Married,North,0
194,62597.71388776773,0.32066655586924947,8502.052718421552,Low,Unemployed,37.27828773020181,5,Married,West,0
195,65779.76069593255,0.5411776288123068,8594.18620276726,Medium,Self-Employed,32.37724289409518,5,Married,South,1
196,46742.138456983004,0.4621004774050301,8490.416445651386,Low,Salaried,41.54963631527658,5,Married,East,0
197,62305.87658918292,0.4921776593903892,8514.129464944479,Low,Unemployed,39.30806294984532,2,Single,South,0
198,60873.13077669,0.22635033644958666,8544.56492357143,Medium,Salaried,39.41239625628038,3,Single,West,1
199,42855.44553254065,0.2953012991961336,8581.942134309045,Low,Self-Employed,34.406313835595434,0,Single,North,1
200,65366.81040522425,0.11269926856724458,8525.051082924221,Low,Salaried,40.41038117512619,1,Married,East,0
201,68411.76789552352,0.16502482437590194,8500.120360896915,Medium,Unemployed,55.62206072580919,5,Single,East,0
202,76245.76864762916,0.2590325391933324,8501.397883055768,Low,Self-Employed,46.88804154797269,5,Married,East,1
203,75807.03078052355,0.13927823278121262,8447.708219889653,Low,Unemployed,41.370609242600494,4,Married,East,0
204,39334.959480643636,0.46157944021282143,8480.905856656718,Low,Salaried,52.379981120558945,4,Single,East,0
205,45932.624401273155,0.6988780695542951,8502.560974230755,Medium,Self-Employed,47.27082718881971,3,Married,West,1
206,67725.5290081299,0.1604891284392331,8569.094693755089,Low,Unemployed,36.72894611849417,4,Single,South,0
207,67706.78926368314,0.5927381276015591,8478.497840325932,Low,Salaried,39.46905479168179,0,Divorced,South,0
208,67725.71529459071,0.1712897483590883,8553.132732273689,Low,Self-Employed,49.00807534418898,1,Married,North,1
209,117790.97235982081,0.5019484112778616,8495.908099436807,Low,Unemployed,42.393596196344106,5,Married,North,0
210,68563.35766039751,0.4858945618354103,8562.177927979123,High,Unemployed,44.26228447753282,5,Single,West,1
211,77033.48460270898,0.6416301608867195,8533.836124698648,Low,Self-Employed,27.465240986438143,3,Married,West,1
212,74310.02645239803,0.16836736820830742,8530.459768142568,Medium,Self-Employed,34.736205413113936,5,Divorced,North,1
213,69770.86876958697,0.28926667964913866,8548.941332999777,Medium,Salaried,39.425607000636205,3,Married,East,1
214,55270.96133039481,0.15446785621281142,8541.657995564297,Low,Unemployed,51.31691050173679,2,Divorced,North,0
215,71384.53830739901,0.3444299954826603,8553.190669785192,Low,Self-Employed,58.90876641403584,3,Single,West,1
216,48407.621781936425,0.6469559041344669,8606.588197962028,High,Salaried,30.99507599678403,1,Single,North,1
217,56447.72089889987,0.5689138906371136,8580.844735567447,Low,Unemployed,33.78969332856913,0,Divorced,East,0
218,52719.54678256345,0.5337400602671915,8523.321211708248,Low,Self-Employed,44.471382728464675,4,Divorced,North,1
219,61228.112090794835,0.4198165029176212,8477.912657064817,Medium,Unemployed,61.26873396394458,0,Single,South,0
220,94719.87850010263,0.6300914454013137,8518.320889484541,Low,Unemployed,30.037754415974078,0,Divorced,South,0
221,31991.022111123777,0.369665078944797,8403.690213717075,Medium,Self-Employed,20.372260424637307,1,Married,West,1
222,70293.9028556177,0.18981140026038296,8541.449330625052,Low,Self-Employed,41.64109042170383,2,Divorced,East,1
223,35809.26193215522,0.6025511338724675,8446.998340271319,Medium,Salaried,26.509797686760006,5,Single,North,0
224,52921.022013158494,0.2677829968310361,8556.124063798725,Medium,Salaried,45.675590052271176,3,Married,East,1
225,76334.2589545105,0.13218012461466885,8599.014451684536,Medium,Salaried,47.8120691064358,2,Single,East,1
226,60964.200286431944,0.17562281840127483,8427.453282865754,Low,Unemployed,37.79848612732604,2,Married,West,0
227,43833.82833106041,0.4654353497164889,8497.484780189621,Medium,Salaried,35.50395198195057,2,Divorced,North,1
228,49270.444361100475,0.4642491783527035,8446.779357366628,Medium,Unemployed,32.87610098261208,4,Divorced,West,0
229,70193.96623402013,0.2561099026492207,8413.584501803176,Low,Unemployed,40.649736930791825,0,Single,West,0
230,49044.50052424295,0.5363080887675874,8494.683917439806,Low,Unemployed,26.817265896550015,0,Divorced,North,0
231,63246.878843729624,0.5641840932397206,8531.758351854927,Low,Salaried,35.393816371980805,2,Single,East,0
232,60683.5775985572,0.6523015756801709,8537.720021465952,Medium,Self-Employed,32.696944642259936,2,Divorced,North,1
233,50225.99478591275,0.45096249920694215,8507.696290628268,High,Unemployed,42.762835482455415,3,Single,South,1
234,92159.16133987988,0.5676540184885437,8416.788397169323,Medium,Self-Employed,43.484546442165694,4,Divorced,East,1
235,69508.78533477017,0.5518598078629802,8506.168938122666,Medium,Salaried,54.09805930177067,3,Single,South,0
236,29622.861200135892,0.2546854290803157,8425.372599187724,High,Unemployed,30.20225973570292,4,Divorced,South,0
237,62796.814721541414,0.2861355567625956,8428.650587097107,Low,Self-Employed,36.543581200248454,5,Married,South,1
238,50073.20302847418,0.38708943745172286,8450.159005587171,Low,Salaried,49.35559772919596,2,Married,East,0
239,72786.50002194336,0.1114233805175491,8552.490559568922,Low,Self-Employed,44.738053744220565,4,Married,South,1
240,48112.18892350949,0.2784386638946341,8527.262767284077,Medium,Unemployed,33.39514785139611,0,Divorced,North,0
241,58278.95337799651,0.38432972400654275,8516.12953489413,Low,Unemployed,26.771939243178167,1,Divorced,West,0
242,67574.80918470686,0.16484157716868625,8456.869290958159,Medium,Salaried,58.50314915473927,0,Married,East,1
243,72986.32791255182,0.17576553266507527,8480.611230822431,Low,Salaried,24.073465579235727,2,Divorced,East,0
244,41995.55389416336,0.3779420414424047,8431.493874692147,High,Unemployed,27.520073992753108,0,Single,East,1
245,54982.481462385775,0.5385790189515587,8568.215066344605,High,Self-Employed,41.87088446458253,4,Married,West,1
246,52875.82033258566,0.6002493585524099,8609.862900378515,Low,Unemployed,49.60892537402151,4,Single,North,0
247,50200.06151139432,0.42778833850284914,8527.829920703656,Medium,Self-Employed,31.230120686843364,2,Divorced,South,1
248,86481.81360421646,0.3848493925280387,8536.587710550519,High,Self-Employed,46.822469843769746,3,Single,East,1
249,66074.72566441433,0.33056834107585314,8492.051993039431,Low,Self-Employed,29.90634548674778,4,Divorced,North,1
250,41086.74068497432,0.21576939546256374,8419.027381817083,Low,Unemployed,48.01122588289759,5,Married,South,0
251,73767.92920582164,0.18793720168861883,8457.801760468641,Medium,Self-Employed,48.131993912963466,0,Divorced,West,1
252,91832.3429551895,0.5751378709970848,8476.730772553325,Medium,Self-Employed,31.222393232882936,2,Single,North,1
253,75486.9789082672,0.3790039793274017,8480.737199474363,Medium,Salaried,48.77917513407603,5,Single,East,1
254,37209.4505106898,0.5741921472878527,8469.230318571486,High,Salaried,30.19077210691411,5,Single,West,1
255,52736.48890700623,0.5224498215403778,8502.387665428578,High,Salaried,15.193333725580667,0,Married,East,1
256,79003.66723779934,0.2163375486300273,8457.491545573399,High,Salaried,38.527487795312176,1,Divorced,North,1
257,49384.958015718286,0.40618435852673546,8608.386206030982,Low,Self-Employed,43.8570768509953,5,Married,North,1
