,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,loan_approval
110,Fair,Low,Small,Urban,Bachelor,1
111,Bad,Low,Small,Urban,High School,0
112,Good,Medium,Medium,Suburban,High School,1
113,Good,Medium,Small,Urban,Bachelor,1
114,Fair,Low,Medium,Suburban,High School,0
115,Good,Low,Medium,Urban,Master,0
116,Good,Low,Medium,Urban,Master,0
117,Bad,Medium,Medium,Urban,Master,1
118,Good,Low,Large,Urban,High School,0
119,Fair,Medium,Medium,Urban,Master,0
120,Good,Low,Medium,Urban,Master,1
121,Good,Low,Small,Urban,High School,1
122,Fair,High,Small,Suburban,Bachelor,0
123,Bad,Medium,Medium,Urban,Master,0
124,Fair,Low,Medium,Rural,Master,0
125,Fair,High,Large,Rural,High School,1
126,Good,Medium,Medium,Suburban,High School,0
127,Good,High,Large,Urban,Bachelor,1
128,Bad,Medium,Large,Rural,Master,0
129,Fair,Medium,Medium,Urban,Master,1
130,Fair,High,Medium,Urban,High School,1
131,Fair,Low,Large,Urban,Bachelor,0
132,Bad,Medium,Small,Rural,Master,0
133,Fair,Medium,Medium,Urban,Master,0
134,Good,Low,Large,Rural,Master,0
135,Fair,Low,Large,Urban,Master,0
136,Fair,Low,Large,Rural,High School,0
137,Good,Medium,Large,Rural,Master,1
138,Fair,Medium,Small,Rural,High School,0
139,Good,Medium,Medium,Urban,Master,1
140,Good,Low,Small,Rural,Bachelor,1
141,Fair,Medium,Large,Rural,Master,1
142,Fair,High,Medium,Urban,Master,1
143,Fair,Low,Medium,Urban,High School,1
144,Fair,Medium,Medium,Suburban,High School,1
145,Bad,Medium,Medium,Urban,Bachelor,0
146,Fair,Medium,Small,Suburban,Master,1
147,Fair,Medium,Large,Urban,Master,1
148,Bad,High,Medium,Suburban,Master,0
149,Fair,Low,Small,Urban,Bachelor,0
150,Good,High,Large,Urban,High School,1
151,Fair,Low,Large,Urban,High School,0
152,Bad,Low,Large,Rural,High School,0
153,Fair,Low,Medium,Urban,Bachelor,0
154,Good,Medium,Large,Rural,Master,0
155,Fair,Medium,Large,Suburban,Bachelor,0
156,Fair,Low,Medium,Urban,Master,0
157,Good,Low,Medium,Urban,Bachelor,1
158,Fair,High,Large,Urban,Bachelor,0
159,Good,High,Medium,Urban,Bachelor,1
160,Fair,Medium,Medium,Urban,Bachelor,0
161,Fair,Medium,Small,Suburban,Master,1
162,Fair,Medium,Medium,Rural,Bachelor,0
163,Fair,Low,Small,Urban,High School,1
164,Bad,High,Medium,Suburban,Master,1
165,Good,Low,Large,Rural,Master,1
166,Fair,Medium,Medium,Rural,Bachelor,1
167,Bad,Low,Small,Rural,High School,0
168,Bad,Medium,Medium,Rural,High School,0
169,Fair,Medium,Small,Urban,High School,1
170,Fair,Medium,Small,Rural,High School,1
171,Bad,Low,Large,Rural,Master,0
172,Fair,Medium,Large,Urban,High School,0
173,Fair,Low,Large,Urban,Bachelor,0
174,Fair,Low,Medium,Urban,Bachelor,0
175,Bad,Low,Large,Urban,Master,0
176,Fair,Medium,Small,Urban,High School,1
177,Fair,Medium,Large,Suburban,Bachelor,0
178,Good,Medium,Medium,Suburban,High School,1
179,Bad,Medium,Large,Urban,High School,0
180,Fair,Medium,Small,Urban,Bachelor,1
181,Bad,Medium,Medium,Suburban,Bachelor,0
182,Good,Low,Small,Urban,High School,1
183,Good,Low,Small,Urban,Bachelor,1
184,Fair,Medium,Medium,Suburban,High School,0
185,Fair,Medium,Large,Urban,Master,0
186,Good,High,Large,Urban,Bachelor,1
187,Fair,High,Large,Urban,Master,0
188,Fair,Low,Small,Suburban,High School,1
189,Fair,Low,Large,Suburban,Master,0
190,Bad,Medium,Large,Urban,Bachelor,0
191,Good,Low,Medium,Urban,High School,1
192,Good,Low,Medium,Suburban,Master,1
193,Fair,High,Medium,Rural,Master,1
194,Fair,Low,Medium,Suburban,Master,0
195,Fair,High,Small,Rural,Master,1
196,Good,Medium,Medium,Suburban,High School,1
197,Good,Medium,Large,Suburban,Bachelor,0
198,Good,Low,Small,Rural,Bachelor,1
199,Good,Low,Small,Suburban,High School,1
200,Fair,Medium,Large,Rural,Master,0
201,Bad,Low,Medium,Urban,Bachelor,0
202,Bad,Low,Medium,Rural,Master,0
203,Good,Low,Large,Suburban,Bachelor,0
204,Fair,Low,Small,Rural,Bachelor,0
205,Bad,Low,Large,Urban,High School,0
206,Bad,Medium,Small,Suburban,High School,1
207,Fair,Low,Medium,Rural,Master,0
208,Bad,Low,Medium,Urban,Master,0
209,Bad,Medium,Large,Suburban,Bachelor,0
210,Fair,High,Large,Rural,Master,1
211,Fair,Low,Large,Urban,Bachelor,0
212,Fair,Low,Large,Urban,Master,1
213,Fair,Medium,Medium,Suburban,High School,0
214,Good,High,Small,Suburban,Bachelor,1
215,Fair,Medium,Medium,Urban,Bachelor,1
216,Fair,Medium,Small,Urban,Bachelor,1
217,Good,Low,Medium,Urban,High School,1
218,Fair,Medium,Small,Urban,Bachelor,1
219,Good,Low,Small,Urban,Bachelor,0
220,Fair,Medium,Large,Suburban,High School,0
221,Fair,Medium,Small,Suburban,Master,1
222,Bad,High,Medium,Suburban,Master,1
223,Fair,Low,Small,Urban,Master,1
224,Fair,Low,Medium,Urban,Bachelor,0
225,Fair,Medium,Medium,Urban,High School,1
226,Good,Medium,Large,Rural,Bachelor,1
227,Fair,Medium,Large,Suburban,High School,0
228,Good,Low,Medium,Rural,Bachelor,1
229,Fair,Low,Small,Urban,High School,0
230,Good,Medium,Small,Suburban,Bachelor,1
231,Fair,Low,Medium,Suburban,High School,0
232,Fair,High,Small,Rural,High School,1
233,Fair,Medium,Small,Suburban,Master,1
234,Bad,Medium,Large,Suburban,Master,0
235,Good,Medium,Large,Urban,Bachelor,0
236,Fair,Medium,Large,Suburban,High School,1
237,Bad,Low,Small,Urban,Master,0
238,Fair,High,Small,Urban,Master,1
239,Bad,Low,Large,Urban,Master,0
240,Good,Medium,Large,Rural,Bachelor,0
241,Good,Low,Small,Urban,High School,1
242,Good,Medium,Small,Rural,High School,1
243,Fair,Low,Small,Rural,Master,0
244,Bad,Low,Medium,Rural,Master,0
245,Good,High,Large,Rural,Bachelor,1
246,Fair,Low,Medium,Rural,Bachelor,0
247,Good,Medium,Large,Urban,Bachelor,0
248,Good,High,Small,Urban,Master,1
249,Good,Low,Medium,Suburban,Master,1
250,Fair,Medium,Small,Urban,Bachelor,1
251,Fair,Low,Medium,Urban,High School,0
252,Good,Low,Small,Suburban,High School,1
253,Fair,Medium,Medium,Suburban,Master,0
254,Bad,High,Medium,Rural,Master,1
255,Fair,Low,Medium,Suburban,High School,0
256,Good,Medium,Large,Suburban,High School,1
257,Fair,Medium,Small,Urban,Bachelor,1
258,Fair,High,Medium,Urban,Bachelor,1
259,Bad,Low,Medium,Rural,Bachelor,0
260,Fair,Medium,Small,Urban,Bachelor,1
261,Good,Medium,Small,Urban,Master,1
262,Bad,Medium,Medium,Suburban,Master,0
263,Fair,High,Small,Urban,High School,1
264,Good,High,Large,Urban,Bachelor,1
265,Good,Low,Large,Urban,High School,1
266,Fair,Medium,Medium,Urban,Master,1
267,Good,Low,Medium,Urban,Master,0
268,Fair,Low,Medium,Rural,High School,0
269,Fair,Medium,Medium,Suburban,High School,0
270,Good,Low,Medium,Urban,High School,0
271,Good,Medium,Small,Urban,Bachelor,1
272,Good,High,Medium,Urban,High School,1
273,Good,Low,Small,Rural,Bachelor,1
274,Fair,High,Small,Urban,Bachelor,1
275,Fair,Medium,Large,Rural,Bachelor,0
276,Good,Medium,Large,Urban,Master,1
277,Fair,High,Medium,Rural,Bachelor,1
278,Good,Low,Small,Urban,Master,1
279,Good,Medium,Large,Urban,High School,0
280,Good,Medium,Large,Urban,High School,1
281,Fair,Low,Small,Suburban,Bachelor,1
282,Fair,High,Medium,Urban,Bachelor,1
283,Bad,High,Large,Urban,High School,0
284,Fair,Low,Large,Rural,Bachelor,0
285,Bad,Low,Small,Urban,Bachelor,0
286,Fair,Medium,Small,Urban,Master,1
287,Fair,Low,Large,Rural,Bachelor,0
288,Fair,Medium,Medium,Urban,Bachelor,0
289,Fair,Low,Small,Rural,Master,1
290,Bad,Medium,Small,Urban,Master,0
291,Bad,Low,Small,Urban,Bachelor,0
292,Good,Low,Medium,Urban,Bachelor,1
293,Fair,Medium,Small,Rural,Bachelor,1
294,Bad,Medium,Medium,Rural,High School,0
295,Fair,High,Large,Rural,High School,0
296,Good,High,Small,Urban,Bachelor,1
297,Fair,Low,Medium,Rural,Master,0
298,Fair,Low,Small,Urban,High School,1
299,Bad,High,Large,Urban,High School,0
300,Bad,High,Small,Rural,High School,1
301,Fair,High,Large,Urban,Bachelor,0
302,Fair,Low,Medium,Urban,Bachelor,0
303,Fair,High,Large,Urban,Bachelor,1
304,Good,Low,Medium,Suburban,Bachelor,0
305,Good,Medium,Small,Urban,Master,1
306,Fair,High,Medium,Urban,Bachelor,0
307,Fair,Low,Large,Rural,Bachelor,0
308,Good,High,Medium,Urban,Master,1
309,Fair,Low,Small,Urban,Master,1
310,Fair,High,Medium,Suburban,Bachelor,1
311,Bad,Low,Large,Rural,Master,0
312,Bad,High,Large,Urban,Bachelor,0
313,Good,Low,Small,Suburban,Bachelor,1
314,Good,Medium,Medium,Urban,Bachelor,1
315,Fair,Medium,Large,Suburban,Bachelor,1
316,Fair,Medium,Small,Urban,Bachelor,1
317,Bad,Low,Medium,Urban,Bachelor,0
318,Bad,Medium,Large,Urban,Master,0
319,Fair,Low,Small,Rural,Bachelor,0
320,Fair,Medium,Medium,Suburban,High School,0
321,Good,Low,Medium,Rural,High School,0
322,Fair,High,Medium,Suburban,Master,1
323,Fair,Low,Small,Urban,Master,0
324,Good,Low,Large,Urban,Bachelor,0
325,Good,Low,Large,Rural,Master,0
326,Fair,Medium,Large,Suburban,Master,1
327,Fair,Low,Small,Rural,Master,1
328,Fair,Medium,Medium,Urban,Bachelor,1
329,Fair,High,Medium,Urban,Bachelor,1
330,Fair,Medium,Large,Urban,High School,0
331,Good,Medium,Medium,Urban,Master,1
332,Bad,Low,Small,Urban,Master,0
333,Bad,Medium,Medium,Urban,Master,0
334,Bad,Low,Small,Suburban,Bachelor,1
335,Bad,Medium,Medium,Urban,Bachelor,0
336,Good,Low,Small,Urban,Bachelor,1
337,Good,Medium,Large,Suburban,High School,0
338,Fair,Low,Medium,Urban,Bachelor,1
339,Bad,High,Small,Suburban,High School,1
340,Fair,Low,Small,Urban,Master,1
341,Fair,Medium,Large,Rural,Bachelor,0
342,Bad,Low,Medium,Suburban,Master,0
343,Fair,Medium,Large,Rural,Master,0
344,Fair,High,Small,Suburban,High School,1
345,Fair,Medium,Medium,Urban,High School,0
346,Fair,Medium,Medium,Urban,Master,1
347,Bad,High,Large,Suburban,Master,1
348,Fair,Medium,Small,Suburban,High School,1
349,Fair,Medium,Medium,Suburban,High School,0
350,Fair,Medium,Large,Urban,Bachelor,0
351,Good,Medium,Medium,Suburban,Bachelor,1
352,Fair,Low,Large,Suburban,High School,0
353,Bad,High,Medium,Suburban,Master,1
354,Bad,Medium,Small,Urban,Bachelor,0
355,Fair,Low,Small,Rural,Bachelor,1
356,Bad,Medium,Medium,Urban,Master,1
357,Fair,Low,Small,Urban,Bachelor,1
358,Good,Low,Medium,Rural,Master,1
359,Fair,Medium,Large,Urban,High School,1
360,Fair,High,Small,Suburban,High School,1
361,Fair,High,Medium,Urban,High School,1
362,Fair,High,Medium,Urban,Bachelor,1
363,Fair,High,Small,Urban,Master,1
364,Good,Low,Large,Urban,Master,0
365,Fair,Low,Small,Urban,Master,1
366,Good,High,Small,Urban,Bachelor,1
367,Good,Low,Medium,Suburban,Master,0
368,Bad,Medium,Large,Suburban,Bachelor,0
369,Bad,Medium,Medium,Rural,High School,0
370,Bad,Low,Large,Rural,Bachelor,0
371,Bad,High,Medium,Urban,Bachelor,1
372,Bad,Medium,Small,Rural,High School,0
373,Fair,Medium,Medium,Suburban,High School,1
374,Bad,High,Medium,Urban,High School,0
375,Fair,Medium,Medium,Suburban,Bachelor,0
376,Good,Low,Medium,Urban,High School,1
377,Bad,Medium,Small,Suburban,Master,0
378,Good,High,Medium,Urban,Bachelor,1
379,Fair,Medium,Small,Urban,Bachelor,1
380,Bad,Medium,Medium,Urban,Master,0
381,Fair,Medium,Medium,Urban,Bachelor,1
382,Fair,Low,Large,Rural,Bachelor,0
383,Good,High,Medium,Rural,Master,1
384,Good,High,Medium,Urban,Bachelor,1
385,Good,Low,Large,Urban,Master,1
386,Fair,Low,Small,Urban,Bachelor,1
387,Bad,High,Medium,Rural,High School,1
388,Good,High,Small,Urban,Bachelor,1
389,Good,High,Large,Rural,High School,1
390,Good,High,Medium,Suburban,High School,1
391,Fair,Medium,Large,Rural,High School,0
392,Fair,Medium,Large,Suburban,High School,0
393,Good,Medium,Small,Suburban,Master,1
394,Fair,Low,Large,Suburban,Master,0
395,Good,Medium,Medium,Rural,Master,0
396,Good,Medium,Large,Rural,High School,1
397,Fair,Medium,Medium,Suburban,Bachelor,0
398,Good,Medium,Small,Suburban,High School,1
399,Good,Medium,Medium,Rural,Bachelor,1
400,Bad,Low,Small,Rural,Master,0
401,Good,Low,Medium,Suburban,High School,1
402,Fair,Low,Small,Urban,Master,1
403,Good,Low,Small,Urban,Master,1
404,Fair,High,Medium,Rural,Master,0
405,Good,Low,Medium,Urban,Bachelor,0
406,Fair,Low,Small,Urban,Master,1
407,Bad,Medium,Medium,Urban,Master,0
408,Good,Medium,Small,Suburban,Master,1
409,Bad,Low,Medium,Suburban,Bachelor,0
410,Fair,Medium,Large,Urban,Bachelor,0
411,Good,Medium,Small,Urban,Bachelor,1
412,Good,Low,Medium,Suburban,Master,1
413,Fair,Low,Medium,Rural,Master,0
414,Fair,High,Medium,Urban,Bachelor,1
415,Fair,High,Large,Urban,Master,0
416,Fair,Medium,Small,Suburban,Master,1
417,Fair,Low,Small,Rural,High School,1
418,Fair,Medium,Small,Suburban,Bachelor,1
419,Good,Medium,Medium,Suburban,Bachelor,0
420,Good,Low,Medium,Rural,Master,1
421,Good,Medium,Small,Urban,Bachelor,1
422,Bad,Medium,Medium,Urban,Master,0
423,Fair,Low,Medium,Suburban,Bachelor,0
424,Bad,Medium,Small,Rural,High School,0
425,Fair,High,Medium,Suburban,High School,1
426,Fair,Low,Medium,Rural,High School,0
427,Good,High,Large,Suburban,High School,1
428,Fair,Low,Large,Suburban,Bachelor,0
429,Bad,High,Large,Urban,Bachelor,0
430,Bad,Low,Small,Urban,High School,0
431,Good,Low,Medium,Suburban,Bachelor,0
432,Fair,Medium,Medium,Urban,Bachelor,1
433,Bad,Medium,Small,Urban,High School,1
434,Bad,High,Medium,Rural,Bachelor,1
435,Good,Low,Medium,Rural,Master,1
436,Bad,Low,Large,Urban,High School,0
437,Good,Medium,Small,Suburban,High School,1
438,Good,Medium,Large,Urban,Master,0
439,Bad,Low,Large,Urban,Master,0
440,Bad,Medium,Large,Suburban,Bachelor,0
441,Good,Medium,Large,Suburban,Bachelor,0
442,Fair,High,Large,Urban,Master,1
443,Fair,High,Medium,Urban,Master,0
444,Good,Low,Large,Urban,Bachelor,0
445,Good,Medium,Medium,Rural,Bachelor,1
446,Good,Low,Large,Suburban,Bachelor,0
447,Good,Medium,Large,Urban,High School,0
448,Fair,Medium,Medium,Urban,Master,1
449,Bad,High,Small,Suburban,Bachelor,1
450,Good,Medium,Small,Suburban,Bachelor,1
451,Fair,High,Small,Rural,Master,1
452,Fair,High,Medium,Urban,High School,1
453,Good,High,Medium,Rural,High School,1
454,Bad,High,Medium,Urban,Bachelor,0
455,Fair,Medium,Medium,Urban,Bachelor,1
456,Bad,Low,Large,Urban,Master,0
457,Fair,Low,Medium,Suburban,High School,0
458,Bad,Low,Medium,Rural,Bachelor,1
459,Bad,Medium,Medium,Suburban,High School,0
460,Bad,Medium,Medium,Suburban,Master,0
461,Fair,Medium,Large,Urban,High School,0
462,Good,High,Medium,Urban,Bachelor,1
463,Fair,High,Large,Suburban,Master,0
464,Good,Low,Small,Suburban,Master,1
465,Fair,Low,Large,Suburban,Master,0
466,Fair,Medium,Large,Urban,Bachelor,0
467,Good,Low,Small,Urban,Bachelor,1
468,Fair,Medium,Medium,Urban,Bachelor,0
469,Good,Medium,Large,Rural,Master,1
470,Bad,Medium,Medium,Suburban,Master,1
471,Good,High,Large,Urban,Master,1
472,Bad,High,Large,Urban,Master,0
473,Good,Low,Large,Urban,High School,0
474,Fair,Medium,Medium,Urban,Master,1
475,Good,Medium,Small,Suburban,Master,1
476,Bad,Low,Medium,Rural,Master,0
477,Fair,Low,Medium,Suburban,Master,0
478,Good,Medium,Large,Urban,Bachelor,1
479,Fair,Low,Medium,Suburban,Bachelor,0
480,Fair,Low,Small,Suburban,High School,1
481,Fair,Medium,Large,Urban,Bachelor,0
482,Fair,Medium,Small,Rural,Bachelor,1
483,Fair,Low,Medium,Rural,Master,0
484,Fair,Low,Small,Urban,Master,1
485,Good,High,Medium,Suburban,Master,1
486,Bad,Low,Medium,Suburban,High School,0
487,Fair,High,Small,Suburban,Bachelor,1
488,Good,Medium,Small,Urban,Bachelor,1
489,Good,Low,Large,Urban,High School,1
490,Fair,Low,Small,Urban,High School,1
491,Fair,Low,Large,Suburban,Master,0
492,Fair,Low,Large,Urban,High School,0
493,Bad,Low,Medium,Suburban,High School,0
494,Fair,Medium,Small,Suburban,Bachelor,1
495,Fair,Low,Small,Urban,Master,0
496,Fair,Medium,Medium,Suburban,Master,1
497,Bad,Medium,Large,Urban,Master,0
498,Good,Low,Medium,Urban,Master,1
499,Good,Low,Large,Urban,Bachelor,1
500,Fair,Low,Medium,Rural,Master,1
501,Fair,Low,Medium,Suburban,Bachelor,0
502,Fair,Medium,Large,Urban,Bachelor,0
503,Good,Low,Medium,Rural,Bachelor,1
504,Fair,Medium,Medium,Suburban,Master,0
505,Bad,Medium,Small,Urban,Master,1
506,Good,Medium,Medium,Urban,Bachelor,1
507,Good,Medium,Large,Urban,Bachelor,1
508,Good,Medium,Large,Suburban,Master,0
509,Good,Low,Large,Suburban,High School,1
510,Fair,Low,Large,Urban,Master,0
511,Fair,Medium,Medium,Urban,Bachelor,1
512,Good,Low,Small,Urban,Bachelor,1
513,Good,Medium,Medium,Urban,Bachelor,1
514,Bad,Medium,Medium,Suburban,Bachelor,0
515,Bad,Medium,Medium,Urban,Master,0
516,Fair,Medium,Medium,Suburban,Master,1
517,Good,Medium,Small,Rural,Bachelor,1
518,Good,Medium,Small,Urban,Master,1
519,Bad,Medium,Medium,Urban,Master,0
520,Fair,Medium,Large,Urban,Bachelor,0
521,Fair,Medium,Small,Urban,Bachelor,1
522,Good,High,Large,Suburban,Bachelor,1
523,Good,Medium,Small,Suburban,High School,1
524,Good,Medium,Small,Urban,Bachelor,1
525,Fair,Medium,Large,Urban,Master,0
526,Fair,Medium,Small,Urban,Bachelor,0
527,Fair,Low,Small,Urban,Bachelor,1
528,Bad,High,Small,Suburban,High School,1
529,Good,Low,Medium,Urban,High School,1
530,Good,Medium,Large,Suburban,Bachelor,0
531,Good,Medium,Medium,Suburban,High School,1
532,Good,High,Medium,Urban,High School,1
533,Fair,Low,Large,Suburban,Bachelor,0
534,Good,Medium,Medium,Rural,Bachelor,1
535,Good,Medium,Medium,Urban,High School,1
536,Good,Low,Large,Urban,High School,1
537,Fair,Low,Medium,Urban,High School,0
538,Fair,Medium,Large,Suburban,High School,0
539,Bad,Medium,Small,Urban,High School,0
540,Good,Low,Medium,Rural,Bachelor,1
541,Fair,Medium,Large,Suburban,Bachelor,0
542,Fair,Medium,Small,Rural,Bachelor,1
543,Fair,Medium,Large,Urban,Master,1
544,Fair,High,Medium,Rural,Bachelor,1
545,Fair,Medium,Small,Urban,High School,1
546,Bad,High,Small,Urban,High School,1
547,Fair,High,Large,Rural,Master,1
548,Fair,Low,Small,Urban,Master,1
549,Good,Low,Small,Rural,High School,1
550,Fair,Medium,Medium,Urban,High School,0
551,Good,Medium,Medium,Rural,Bachelor,1
552,Fair,Medium,Large,Suburban,Bachelor,1
553,Fair,Medium,Medium,Suburban,Bachelor,1
554,Good,Medium,Medium,Urban,Bachelor,1
555,Fair,Medium,Small,Urban,High School,1
556,Bad,Low,Medium,Suburban,High School,0
557,Bad,High,Medium,Suburban,Bachelor,0
558,Good,Low,Large,Urban,Master,1
559,Fair,High,Large,Urban,High School,1
560,Good,Low,Large,Urban,Master,0
561,Fair,High,Large,Urban,Bachelor,0
562,Bad,Low,Medium,Urban,High School,0
563,Bad,Low,Small,Rural,Master,0
564,Fair,Low,Medium,Urban,Bachelor,1
565,Fair,Medium,Medium,Urban,Bachelor,1
566,Fair,High,Medium,Rural,Bachelor,1
567,Fair,Medium,Medium,Urban,High School,0
568,Good,High,Medium,Suburban,Bachelor,1
569,Fair,Medium,Medium,Suburban,Bachelor,1
570,Fair,Medium,Small,Suburban,High School,1
571,Good,High,Large,Suburban,Bachelor,1
572,Fair,Low,Large,Suburban,High School,1
573,Fair,Low,Medium,Urban,High School,0
574,Good,High,Small,Suburban,Master,1
575,Good,High,Medium,Suburban,High School,1
576,Bad,High,Small,Urban,Bachelor,1
577,Good,High,Medium,Urban,Master,1
578,Fair,Low,Medium,Rural,High School,1
579,Fair,High,Small,Suburban,Bachelor,1
580,Fair,Medium,Small,Urban,Bachelor,1
581,Good,High,Large,Rural,Bachelor,1
582,Fair,Medium,Medium,Suburban,Bachelor,1
583,Fair,Medium,Large,Rural,Bachelor,0
584,Fair,Medium,Medium,Rural,High School,1
585,Fair,Low,Small,Urban,High School,1
586,Bad,Low,Medium,Suburban,Master,0
587,Bad,High,Medium,Suburban,High School,1
588,Bad,High,Small,Rural,Master,1
589,Bad,Low,Medium,Suburban,Master,0
590,Bad,Medium,Medium,Urban,High School,1
591,Fair,Medium,Small,Urban,High School,1
592,Bad,Medium,Medium,Urban,High School,1
593,Fair,Low,Medium,Rural,Bachelor,0
594,Good,High,Large,Rural,Master,1
595,Fair,Medium,Large,Urban,High School,0
596,Fair,Medium,Medium,Suburban,High School,0
597,Bad,Medium,Medium,Rural,Bachelor,0
598,Bad,Low,Small,Urban,High School,0
599,Bad,Medium,Small,Urban,Bachelor,1
600,Bad,Low,Small,Urban,Bachelor,0
601,Fair,Low,Medium,Rural,Bachelor,0
602,Bad,Medium,Small,Suburban,Bachelor,1
603,Bad,High,Medium,Urban,Bachelor,0
604,Bad,Medium,Medium,Urban,Bachelor,0
605,Fair,Low,Small,Suburban,High School,0
606,Fair,Medium,Large,Rural,Bachelor,0
607,Fair,High,Large,Suburban,Bachelor,1
608,Fair,Medium,Small,Urban,High School,1
609,Fair,High,Medium,Urban,High School,1
610,Bad,Medium,Medium,Rural,High School,0
