,Annual_Income,Credit_Score,Employment_Length,Age,Loan_Term,Loan_Purpose,Employment_Status,Loan_Categories,Region,Marital_Status,Approval_Probability
42,34126.62253382621,423.693243151724,14.187558606197783,49,3,Personal,Employed,Medium,South,Single,0.3175195947493965
43,139118.44824945385,606.9737869705183,5.785433874489561,26,30,Personal,Employed,Large,West,Married,0.6632017321152099
44,61053.59779200203,720.2511501171399,1.2404975070556623,34,23,Home,Unemployed,Small,West,Married,0.3405930545472335
45,109502.67412247784,640.6432182649644,17.161561444498876,52,3,Personal,Self-employed,Medium,North,Single,0.7684154537542256
46,67405.32913072931,427.67365204008587,6.273952761398052,65,18,Personal,Employed,Large,East,Divorced,0.2663456822970669
47,92408.1625413373,300.51867339011966,3.9142682985653043,33,23,Personal,Unemployed,Large,North,Divorced,0.2169970824491988
48,95605.23352119356,716.4328191690915,10.321236447219542,19,8,Car,Self-employed,Medium,East,Divorced,0.6722213857249293
49,52182.53466306324,841.8640292511016,18.204543985648947,60,9,Personal,Employed,Medium,West,Married,0.6154841127761438
50,146350.15533174702,745.4522161683498,0.8709315568675069,48,2,Home,Unemployed,Large,West,Married,0.5754747053780527
51,123015.93880333375,553.1136399861384,15.316081760617754,33,29,Car,Self-employed,Small,North,Divorced,0.7446318265160603
52,142739.8729877027,797.0719937695086,11.449464558774178,64,2,Personal,Self-employed,Large,South,Single,0.8274941354567138
53,137379.28205131786,525.4162202150925,8.50898233103634,50,27,Car,Unemployed,Medium,West,Single,0.404943417516616
54,101747.99745733022,588.7137463339071,14.881608882101201,38,16,Home,Self-employed,Medium,West,Single,0.6842098414655241
55,140624.908202774,562.4213720676258,19.316488488832647,34,7,Car,Unemployed,Large,West,Single,0.33240418455404114
56,40619.10024623034,546.1931299660387,4.58412422325382,52,30,Car,Unemployed,Medium,South,Married,0.11057555831877769
57,53517.943490297424,726.3549231116482,2.8729473014423923,71,4,Personal,Self-employed,Large,West,Divorced,0.48151744472476177
58,35427.27466926457,589.7228989982206,18.25763490445394,71,5,Home,Unemployed,Small,North,Divorced,0.3040301513206612
59,69039.63969159171,474.19441711386884,13.379061549146074,68,1,Home,Unemployed,Small,East,Single,0.4229863711939167
60,76641.27476273784,441.9869922121631,8.75972043123932,69,22,Car,Employed,Large,West,Divorced,0.27008906149237183
61,62561.88381286751,320.76102433208837,11.465191405285662,24,10,Personal,Unemployed,Medium,West,Married,0.2095710046577738
62,129448.50109823151,620.7573390356753,14.91227810352488,71,13,Car,Self-employed,Medium,South,Single,0.7756089625124629
63,72810.39920323071,426.47877847056884,15.460637974114345,46,24,Car,Unemployed,Small,East,Divorced,0.30232195651123706
64,63712.14116248569,381.4736571090107,18.397883616379293,28,27,Car,Self-employed,Medium,East,Married,0.4243652472910226
65,95123.52997898981,659.6064801052227,8.536855777912454,79,15,Personal,Employed,Medium,South,Divorced,0.6758199266898044
66,46910.90699697152,674.6650918018519,5.868218200387901,47,1,Car,Self-employed,Large,North,Married,0.42047275141047535
67,126263.63769048476,713.6851907417163,12.793285335796838,35,18,Personal,Unemployed,Small,West,Divorced,0.7234337053796858
68,38946.0772415725,576.9672929862253,8.314557985590607,74,23,Home,Self-employed,Small,East,Divorced,0.5355451361115119
69,148426.43239206207,791.7300328621376,11.891969078979558,63,14,Car,Employed,Large,East,Married,0.7483147662396592
70,122669.37231559888,814.9885143690253,8.399715969119004,33,18,Home,Employed,Large,North,Divorced,0.6892750282910715
71,53845.88178410069,744.0540168858691,3.0599157335634897,23,25,Car,Employed,Small,North,Single,0.5137458101192723
72,30662.65405483229,649.576415104503,9.388535033179169,19,22,Home,Self-employed,Small,West,Divorced,0.649290374168352
73,127855.3714145801,467.0465244751538,13.818356438820656,72,12,Personal,Self-employed,Large,South,Divorced,0.7170613874566654
74,114822.88126171405,840.6197068911216,15.985676153352998,60,12,Car,Self-employed,Small,South,Married,0.8870485063543899
75,117480.86016491847,450.7748919555661,9.866525535930936,60,5,Car,Employed,Small,North,Single,0.6955798931553941
76,122552.44160231348,411.4613070947371,3.3047578042080183,75,7,Personal,Self-employed,Medium,North,Divorced,0.7407463971734477
77,38885.358208090845,543.1847625826205,8.293754192988631,27,26,Home,Employed,Small,East,Divorced,0.3835442989149264
78,73015.88742531271,331.2623138918137,15.725878576833965,21,24,Home,Employed,Large,North,Divorced,0.1436921879186871
79,43904.287143015565,838.1719555694849,8.257185412341457,66,13,Personal,Unemployed,Medium,East,Divorced,0.2621410633320745
80,133572.41110507122,623.6384560290336,13.930615872084447,27,9,Home,Unemployed,Medium,South,Married,0.5874346946607034
81,104795.77521930695,606.3236504152964,10.144273633561795,26,6,Personal,Employed,Small,South,Divorced,0.7470546107065931
82,69707.7629823179,660.687953944846,4.824462502187934,79,21,Home,Employed,Medium,East,Married,0.4525399859097381
83,37627.00203432284,573.3630062774637,15.923010160461486,62,7,Personal,Employed,Large,West,Single,0.24087176528146714
84,67317.87860587946,317.6349344019979,1.6842690814137407,60,18,Personal,Unemployed,Large,South,Married,0.12558175976777447
85,69021.99864320965,636.7712088622183,10.497805655103011,59,15,Personal,Employed,Small,West,Single,0.7004660812437816
86,117552.74140056768,693.8956323260369,4.177820684868099,41,8,Personal,Unemployed,Small,East,Single,0.6286676148632495
87,106506.89656262558,529.2119833432292,1.341312570827513,22,28,Home,Unemployed,Large,West,Single,0.2626531186563635
88,136465.5291091592,716.5125646391562,10.058678741664977,52,20,Car,Self-employed,Large,East,Divorced,0.8558298936629252
89,86665.79101943392,424.85071463613133,9.991243118698472,21,16,Home,Self-employed,Small,East,Married,0.7441355851202323
90,44351.309512596206,421.7021250864012,14.138018033514417,52,17,Personal,Self-employed,Large,North,Single,0.20983808447131788
91,115589.3744667594,388.77934322816566,14.895013861038098,59,3,Car,Unemployed,Small,South,Married,0.2849108309823174
92,121294.2058340277,504.597117884039,14.555829773857935,73,13,Car,Employed,Medium,South,Single,0.6613380268500668
93,97353.26370833955,765.8566194639959,8.1911746583351,30,9,Home,Self-employed,Medium,East,Single,0.796019420466986
94,122516.06159454733,755.3516341819853,12.633795744531252,54,20,Personal,Unemployed,Small,West,Single,0.7286366898344316
95,89255.4715637269,510.5533143799271,11.538904852879206,49,15,Personal,Employed,Small,North,Divorced,0.6762781528281128
96,92727.93952583929,624.0153047891301,8.431235122338393,62,26,Personal,Self-employed,Small,West,Married,0.7998595267507255
97,81304.92220302596,696.4489740612036,11.944253883719863,76,26,Personal,Unemployed,Large,South,Divorced,0.28324695392029986
98,33050.29520929142,432.66372604541266,18.94495753412525,73,30,Personal,Self-employed,Small,West,Married,0.5573796353632405
99,42946.97123919654,392.4775972421109,3.857874873627547,18,27,Car,Self-employed,Small,North,Single,0.4260472796441323
100,33771.50228240811,834.652796266771,18.115441915710527,80,16,Home,Unemployed,Medium,West,Married,0.31931405713149014
101,106369.24935165365,639.6565222652902,1.0691102796639673,74,16,Home,Self-employed,Small,South,Married,0.7889446433810043
102,67722.7177291592,839.7786470085151,6.167784258033214,28,19,Home,Unemployed,Small,East,Married,0.5659451766746965
103,91028.48293976433,485.765792922726,5.762904972230565,43,4,Car,Unemployed,Medium,South,Divorced,0.265386762554874
104,138907.97687113116,686.6674349857723,12.527302157618115,20,19,Car,Self-employed,Large,North,Single,0.6692581655112212
105,59915.06749786499,422.43200009768077,2.6244990355458064,66,19,Home,Employed,Small,East,Married,0.5091707784245998
106,79245.95076427556,443.6600942006521,17.646952236795073,68,2,Car,Employed,Small,North,Married,0.387155209713637
107,120666.13662516585,581.5461666982932,16.571028169300824,30,6,Car,Employed,Small,South,Married,0.7782179118950088
108,57455.7798589947,475.7899690294392,13.041316393705555,49,13,Home,Unemployed,Small,West,Single,0.28765384220331686
109,39237.58917945516,392.1918601123215,9.168276635843956,65,15,Car,Self-employed,Medium,South,Married,0.335291083775751
110,64770.17434965217,444.5843860941293,18.659120842841567,67,10,Personal,Employed,Medium,West,Married,0.3541919207805774
111,49346.55447048053,319.66161695622554,16.61493109441112,40,22,Home,Self-employed,Medium,East,Single,0.2945295549052877
112,141563.71828110877,687.4329918126176,9.986302961624897,75,10,Home,Employed,Small,West,Divorced,0.8341202928862658
113,126974.44554773004,570.6641613972239,14.037467089086224,69,4,Home,Employed,Large,West,Married,0.4536494405608225
114,106008.45078125081,351.8336865224891,11.33859904359369,40,14,Home,Self-employed,Small,East,Married,0.7021173356587647
115,134575.27082252613,394.4316962206702,11.758844767765291,68,8,Car,Self-employed,Small,North,Single,0.7439848688876983
116,126440.64922789374,356.3939959619542,6.619521388749425,47,6,Home,Self-employed,Large,East,Married,0.39005205105965784
117,52388.407066324304,636.926044551732,9.241692092497935,23,12,Personal,Self-employed,Small,North,Single,0.7961969069578295
118,137107.07981879733,351.8156999868716,1.5624286157948841,72,8,Car,Employed,Medium,East,Divorced,0.5296625503734199
119,94721.06902987808,714.8552831693688,7.14697383329185,24,6,Car,Self-employed,Medium,West,Single,0.7183226081106252
120,126892.8186196875,311.2810056262151,13.916570307243038,64,15,Home,Unemployed,Large,South,Married,0.18474379955649542
121,137530.9559908192,437.15668339774066,19.064320610123726,47,29,Car,Employed,Medium,West,Single,0.5901190139492272
122,68160.41699662367,789.8666717405489,19.261282255260404,54,25,Car,Unemployed,Large,North,Single,0.29106420637381497
123,43206.230943321214,695.1922249672353,11.114457382497832,65,19,Car,Employed,Large,South,Single,0.21174224342083597
124,57352.219505033005,340.13258310912823,12.13244503619164,49,14,Home,Employed,Small,West,Single,0.39101404899740844
125,81252.93463515076,751.6193574668489,3.71442371001935,23,3,Personal,Unemployed,Medium,West,Divorced,0.38398598689865787
126,128161.77191069917,571.1693168471127,13.906162161870615,52,18,Home,Employed,Large,South,Single,0.45872427887373285
127,133287.6699907612,765.730664942856,1.4131758534877248,49,10,Personal,Unemployed,Small,West,Single,0.7192003514641339
128,30834.255663742886,630.4068759477163,5.69371371598889,29,14,Car,Employed,Large,North,Married,0.3202955806509616
129,91289.67630930789,675.0081676180723,13.367266945708845,21,14,Personal,Self-employed,Medium,East,Married,0.7793105020183787
130,80089.32037785348,846.4258582176395,6.206202630869786,49,22,Home,Employed,Medium,North,Single,0.6330310995446317
131,56652.93725648763,427.78455025821,0.9969374822890864,76,7,Home,Unemployed,Small,West,Single,0.32738226147552646
132,44383.844080041934,643.1700661187635,16.637408187019275,71,7,Home,Self-employed,Large,South,Divorced,0.3384991625069441
133,70513.82056843536,553.1767645315691,6.206600142691261,52,21,Car,Self-employed,Medium,South,Married,0.4472009081666648
134,143149.1644695023,321.6985741074803,1.2621044971735684,80,22,Personal,Self-employed,Medium,South,Divorced,0.670576874943325
135,68784.35184249062,307.95885282657576,1.4957632900573037,65,23,Home,Self-employed,Medium,West,Single,0.4956099602425499
136,92254.87460920394,365.57571779982226,5.035175975775072,33,11,Home,Employed,Medium,South,Divorced,0.42954377665961574
137,114362.27506742135,657.0004572962015,3.560318944430525,72,18,Home,Unemployed,Medium,North,Divorced,0.40156975461208244
138,73635.55228551528,611.9396983523657,15.486002355603016,68,10,Car,Self-employed,Large,North,Married,0.4159927072341771
139,146613.84992651528,604.3862586400501,6.433680933340689,32,15,Home,Unemployed,Large,West,Married,0.4592954255117359
140,145493.67539305336,317.521219390543,16.09391570079665,58,30,Car,Unemployed,Small,North,Married,0.3863951169503192
141,60213.8754990437,558.1166479980038,3.476919956463056,69,12,Car,Self-employed,Medium,North,Married,0.46523776651640947
142,89669.82070708626,808.5425498133907,9.857583590881676,19,23,Home,Unemployed,Small,South,Single,0.5207732676220572
143,66105.39717801235,518.6755281208557,13.760742671062577,23,17,Car,Unemployed,Large,East,Married,0.1375916996110499
144,64180.859325296115,643.707358383651,13.039817077317098,31,22,Car,Unemployed,Large,North,Single,0.21231345226505374
145,34426.43368254394,728.9002715927289,12.022588198605375,58,24,Home,Unemployed,Small,West,Married,0.4319536477617576
146,103147.72007758763,731.1589035280382,18.496432038623396,46,29,Home,Employed,Large,South,Single,0.4471537365595691
147,90321.48278746338,585.6040453173993,4.570502954134888,59,17,Personal,Employed,Medium,North,Divorced,0.6100286413562503
148,36177.450149998724,771.873569971285,9.874384089242108,43,1,Home,Employed,Medium,West,Married,0.46209160361817025
149,63437.57570839337,515.2579513500608,17.679851001448174,35,6,Personal,Unemployed,Large,West,Married,0.17299196924973628
150,138991.90631599844,788.7812681316391,1.5578753119031408,64,21,Personal,Employed,Medium,South,Divorced,0.8059125587131144
151,58747.42688003669,432.1249415175499,1.117765365061505,21,15,Personal,Self-employed,Small,West,Married,0.5709360220879544
152,47387.38465094677,454.1190238448141,4.666045751165829,54,19,Home,Unemployed,Large,East,Single,0.0657370966421643
153,88734.33123330756,329.2163433094506,12.660424390760369,74,14,Personal,Employed,Small,East,Divorced,0.5799960366209519
154,148278.0544932721,737.5700100982556,5.197592528996138,72,10,Personal,Employed,Large,North,Married,0.7261720833193308
155,59046.63258138005,529.3803799279881,3.8047976761759794,70,29,Personal,Unemployed,Medium,East,Married,0.174510308800414
156,110656.26568870543,426.0141376512695,9.17604630716584,55,10,Home,Unemployed,Medium,South,Single,0.31846840376166924
157,121394.3538394461,427.48465268911883,12.27196137538823,42,23,Home,Unemployed,Medium,South,Married,0.35614668992789605
158,58516.50527908796,795.7699676760783,4.971154140334808,64,7,Home,Self-employed,Medium,North,Single,0.6945463610507772
159,117385.96183342315,758.6541302535703,6.013823734474841,69,7,Home,Employed,Small,East,Married,0.8692466868925549
160,74133.97592631039,604.4419869464508,12.271186096230277,79,14,Car,Self-employed,Small,West,Divorced,0.6843743636389863
161,105876.69967122954,638.8609402286465,18.914768439789054,46,15,Home,Employed,Large,West,Single,0.4798618603310715
162,106023.56529130736,560.8790638026601,13.494834548761766,51,22,Personal,Unemployed,Medium,East,Single,0.3992947368889919
163,94292.96208897102,515.4165985833449,15.6580828716912,33,20,Home,Employed,Medium,South,Married,0.4588820377992014
164,40834.772406528995,803.5122846700823,7.336201895109376,54,9,Car,Unemployed,Small,South,Single,0.32555965923039354
165,130236.29947070856,369.0869869361661,5.445087187689321,47,28,Car,Employed,Medium,South,Single,0.46880707275656736
166,68493.6077966083,530.1457343439254,9.085354864052452,40,15,Car,Self-employed,Medium,South,Divorced,0.4442357375011712
167,52382.22124798251,489.50904939333145,16.142656574233474,80,9,Home,Employed,Medium,East,Single,0.2538015582618951
168,34893.01698657167,573.9828961381317,9.125992835811116,77,23,Car,Unemployed,Small,North,Divorced,0.3155316615257162
169,100907.15318258901,551.6975309998463,16.93450817579722,53,7,Car,Self-employed,Small,East,Single,0.8027357536242018
170,111307.72342107388,585.3892424080948,19.77543961390254,45,24,Car,Self-employed,Medium,East,Divorced,0.5720246217269818
171,31990.539471342738,376.95543747484675,1.4405333146067267,18,11,Home,Employed,Small,South,Divorced,0.3064468800603668
172,91451.16699591372,582.2278258323024,0.9082031216740738,25,5,Car,Employed,Medium,South,Divorced,0.4800254492344948
173,57179.493023752555,433.330347637966,2.9917940582672364,70,27,Car,Self-employed,Large,South,Divorced,0.301073736407211
174,107420.73484913398,401.38224194350516,7.687393514686924,59,9,Personal,Employed,Medium,North,Divorced,0.4262641599982529
175,50923.97148059897,335.6588203324052,2.620844182908648,32,6,Personal,Unemployed,Medium,North,Married,0.09708971907459854
176,112912.52857229591,719.4589073158775,17.41328955237512,51,7,Personal,Unemployed,Large,South,Single,0.4458088113797816
177,76408.24155606449,535.093056471108,0.46292502054127604,36,28,Car,Employed,Medium,South,Married,0.3738199009578361
178,142407.59864840814,644.6540258214671,6.31585432671645,61,23,Personal,Self-employed,Medium,East,Single,0.8366056797239825
179,46502.51329751919,700.1763388176089,3.693892589884107,47,25,Home,Employed,Large,East,Single,0.3052446670513745
180,70927.96212603102,673.6241659224544,18.630786603150646,27,23,Personal,Self-employed,Medium,East,Divorced,0.709534399796709
181,43616.82254887069,558.7753954993252,13.38962009780056,61,14,Home,Self-employed,Large,South,Single,0.39349279086395994
182,140963.23419342755,513.3441909234514,18.24060512902749,75,19,Personal,Unemployed,Large,East,Married,0.3644138225787535
183,135280.7224057177,506.77795030236507,19.446574206207867,70,22,Personal,Employed,Medium,West,Single,0.63575197067595
184,60952.99532581867,652.026838311531,9.941964873547384,44,22,Personal,Self-employed,Medium,North,Single,0.6375732358939388
185,109198.08552410148,572.1368952180304,4.686382160960525,37,11,Home,Self-employed,Medium,East,Married,0.7554726840516742
186,128066.6640241459,767.0227363936808,3.8745757239317857,42,28,Home,Self-employed,Large,North,Married,0.7575879311473469
187,96624.09739193547,781.0860913796917,4.45837723371681,26,7,Personal,Self-employed,Large,East,Married,0.738646890741178
188,93558.06940272078,393.8082079035851,14.171866152440058,57,6,Home,Unemployed,Small,North,Divorced,0.26319907873460113
189,59022.274908054205,374.9285083501491,0.8089145624600147,51,4,Personal,Unemployed,Large,South,Divorced,0.07531814546952031
190,41172.332136707904,646.7205093197997,1.0272214606542973,80,14,Car,Unemployed,Small,West,Single,0.41630768488651393
191,137665.89095439922,465.6741614342537,12.162858847663001,38,22,Car,Unemployed,Large,North,Single,0.31686556723978365
192,138050.16685959965,310.2138953208044,12.841142934748131,79,3,Car,Unemployed,Medium,East,Divorced,0.25222017810595715
193,105972.17487279215,788.7534681496253,13.305258486449201,41,17,Home,Employed,Medium,South,Married,0.5614300977766812
194,70683.57492584408,424.79542198409456,7.437610091771825,73,15,Car,Employed,Medium,West,Married,0.39651076985208006
195,71905.14895351931,811.104358427195,16.118897774283063,24,1,Personal,Unemployed,Small,South,Married,0.5213410198092998
196,117114.68146442872,694.5889479830395,10.672491754532352,21,21,Personal,Self-employed,Medium,South,Divorced,0.7800528813330112
197,137653.23119430925,719.4594194513163,2.109312600188389,68,11,Home,Self-employed,Large,North,Married,0.7378365381156469
198,136450.37091181407,410.8038226862382,15.941986141346904,25,13,Personal,Employed,Medium,West,Single,0.6438452336586566
199,123585.06550291486,428.8069340892471,19.061355725409165,73,30,Car,Employed,Medium,South,Divorced,0.5510799039002675
200,107043.79753851453,586.6972646032361,1.2007262600471735,30,24,Personal,Employed,Large,East,Married,0.5154229891214228
201,40096.79579940586,394.6549189574242,7.827026774011598,75,3,Home,Unemployed,Small,South,Single,0.144505564203988
202,49395.44569135365,467.98743097566773,9.750320896694953,38,13,Personal,Self-employed,Medium,East,Single,0.6140964106484162
203,137826.50262324951,476.8043628712925,2.929415201566339,52,18,Personal,Self-employed,Small,South,Married,0.8402818531357359
204,102771.4871591508,387.79646328902027,17.35417895565754,22,24,Car,Employed,Small,West,Divorced,0.5325897817743874
205,31103.64619399556,412.8505583673384,5.68299289780088,69,9,Home,Employed,Medium,West,Divorced,0.15071600404693697
206,42176.585143923854,733.7035131045411,15.660170798763202,25,25,Car,Employed,Large,West,Married,0.3312522005501861
207,109620.2122929667,391.9577200009976,13.419889640566321,19,2,Personal,Employed,Small,North,Divorced,0.7093601693871893
208,30607.39006154624,315.65156551415737,11.960916449340468,76,28,Home,Unemployed,Large,South,Single,0.04665142412850009
209,49296.96617009984,646.1452184459162,3.842856973931088,41,8,Personal,Self-employed,Small,West,Married,0.5915738281772167
210,95848.05472399034,836.7907156658475,4.414070411018114,59,2,Personal,Unemployed,Medium,East,Divorced,0.5378893004222618
211,113027.4237231232,482.16759804271675,0.9469680949313863,71,23,Car,Self-employed,Large,East,Divorced,0.6478301509380416
212,108235.35114031206,365.26063675793876,4.814248595645328,33,24,Personal,Unemployed,Large,South,Divorced,0.2038681807965877
213,56912.31713526717,613.7130289521419,6.908872189210282,21,1,Home,Self-employed,Small,West,Married,0.7825892039370722
214,115461.5065617043,798.4948161026055,16.662906077248508,76,24,Home,Unemployed,Large,North,Married,0.4100824497132701
215,58469.890499616005,731.2339789056633,7.3278533342961065,47,3,Car,Self-employed,Medium,West,Single,0.4639418694095654
216,69047.96377911212,642.3837276269938,15.092435655312128,63,29,Car,Unemployed,Large,South,Married,0.1703916492140343
217,119578.96861416289,473.2810731341797,8.788845625909751,47,17,Home,Self-employed,Large,North,Married,0.45367494817468085
218,107955.94788566577,598.034095301921,15.697366239877768,52,7,Car,Employed,Small,East,Divorced,0.6382370184870562
219,131906.80925930134,350.1846627173405,19.525432008740797,59,10,Personal,Self-employed,Large,West,Divorced,0.6297956360852015
220,108913.5470760412,673.4199833543685,4.796831161151602,30,19,Home,Self-employed,Large,West,Married,0.6301402504406073
221,98197.03240025659,698.802810393708,17.246832239277524,54,24,Car,Unemployed,Medium,East,Divorced,0.4629804046035275
222,41240.9721393711,830.7673926004553,12.436481726115494,71,9,Home,Employed,Large,South,Divorced,0.3428135731539904
223,74125.89636713202,443.2185473097894,16.345885231773096,66,18,Personal,Unemployed,Medium,North,Married,0.18290000854001892
224,61824.28412180705,310.15103047366244,13.031718045356104,66,15,Car,Self-employed,Large,East,Married,0.25181730214965903
225,59278.75720549003,600.0846554349329,8.478990145483003,28,17,Home,Self-employed,Large,North,Divorced,0.4136839587629946
226,146761.26657029346,688.734777418248,4.561498788835808,75,24,Personal,Self-employed,Medium,South,Single,0.8756671319811964
227,77171.72696001125,734.7241117356434,1.4007045066233004,36,26,Car,Self-employed,Large,North,Single,0.4709416016650594
228,137045.5866212536,406.55641316364586,10.71036728921434,35,22,Home,Unemployed,Large,North,Married,0.3036522704551951
229,105736.63511967154,443.964077970363,19.80652189053731,77,26,Personal,Employed,Small,West,Single,0.7396242816202406
230,125377.35642499781,581.925008897013,14.760836100284125,34,17,Personal,Self-employed,Small,East,Divorced,0.8213808054219363
231,90316.45117262306,481.830445483501,6.546910827980332,28,19,Personal,Unemployed,Large,North,Divorced,0.15862621575812894
232,99228.4661551631,773.2813176230948,16.544096001734705,32,9,Personal,Unemployed,Medium,North,Married,0.4348117655003772
233,89102.12325826367,560.5680845562962,15.379680003528131,25,25,Personal,Unemployed,Small,East,Single,0.4851287951072308
234,53429.15853576534,739.7682542561016,5.632715867069136,61,6,Car,Unemployed,Large,East,Divorced,0.13489378964504925
235,116694.25383138064,619.3408682652946,0.2861497958846937,46,19,Personal,Unemployed,Small,South,Divorced,0.6491365001482825
236,63692.683492902695,725.1995778894116,2.363252770678992,34,8,Car,Self-employed,Large,East,Single,0.5180350365102377
237,32917.91597177446,482.9701425916781,17.54612380624115,43,6,Car,Self-employed,Medium,North,Divorced,0.35022610750763356
238,107456.67550886013,757.2791420616711,16.731260706097434,79,17,Home,Employed,Small,West,Divorced,0.8739549658960061
239,51253.28152884587,451.01477355306184,5.904180017567249,73,6,Home,Employed,Small,South,Single,0.29083253704838774
240,142855.0301223497,600.35434440181,5.703908525688409,22,13,Car,Employed,Large,East,Single,0.4815233886918423
241,144471.42924031048,417.7039122456308,15.857299742049422,78,21,Personal,Employed,Medium,East,Married,0.7371756335587021
242,139783.7268264538,561.5395868944064,18.75474939790844,21,24,Personal,Unemployed,Medium,East,Single,0.588817103939845
243,74419.04403065333,474.9963652297867,15.582745135951999,73,29,Car,Unemployed,Medium,South,Married,0.25201550735354555
